Objectives = ['-0.2364370415600', '0.0270439069583', '0.4942318880234', '0.4524736502146', '0.4178542313004', '0.3871454077496', '0.3610495911545', '0.4458941404096', '0.2507463882647', '0.3875986269572', '0.1716640528766', '0.6242626767902']
The time of execution of above program is : 323532.2802066803 ms
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      179 |      7 |  0.000000E+00 |  0.000000E+00 |             - |             -
     2 |      358 |      8 |  0.000000E+00 |  0.000000E+00 |  1.7353043804 |         ideal
     3 |      537 |      8 |  0.000000E+00 |  0.000000E+00 |  0.5193212182 |         ideal
     4 |      716 |      2 |  0.000000E+00 |  0.000000E+00 |  1.373596E+02 |         ideal
     5 |      895 |      4 |  0.000000E+00 |  0.000000E+00 |  0.9919897842 |         ideal
     6 |     1074 |      6 |  0.000000E+00 |  0.000000E+00 |  0.2548013073 |         ideal
     7 |     1253 |      5 |  0.000000E+00 |  0.000000E+00 |  0.1381994994 |         ideal
     8 |     1432 |     10 |  0.000000E+00 |  0.000000E+00 |  0.4680150635 |         ideal
     9 |     1611 |      8 |  0.000000E+00 |  0.000000E+00 |  0.0609397001 |         ideal
    10 |     1790 |      2 |  0.000000E+00 |  0.000000E+00 |  1.928338E+01 |         ideal
    11 |     1969 |      3 |  0.000000E+00 |  0.000000E+00 |  0.3952850305 |         ideal
    12 |     2148 |     10 |  0.000000E+00 |  0.000000E+00 |  0.8326114117 |         ideal
    13 |     2327 |      8 |  0.000000E+00 |  0.000000E+00 |  0.2295398910 |         ideal
    14 |     2506 |     12 |  0.000000E+00 |  0.000000E+00 |  0.1578428992 |         ideal
    15 |     2685 |      6 |  0.000000E+00 |  0.000000E+00 |  0.5232715682 |         ideal
    16 |     2864 |      7 |  0.000000E+00 |  0.000000E+00 |  0.1903261109 |         ideal
    17 |     3043 |     12 |  0.000000E+00 |  0.000000E+00 |  0.3017456000 |         ideal
    18 |     3222 |     13 |  0.000000E+00 |  0.000000E+00 |  0.0975918828 |         ideal
    19 |     3401 |     10 |  0.000000E+00 |  0.000000E+00 |  0.2452162337 |         ideal
    20 |     3580 |      9 |  0.000000E+00 |  0.000000E+00 |  0.0890334640 |         ideal
    21 |     3759 |      8 |  0.000000E+00 |  0.000000E+00 |  0.0992976876 |         ideal
    22 |     3938 |      9 |  0.000000E+00 |  0.000000E+00 |  0.1836336609 |         ideal
    23 |     4117 |     12 |  0.000000E+00 |  0.000000E+00 |  0.2238992921 |         ideal
    24 |     4296 |     12 |  0.000000E+00 |  0.000000E+00 |  0.2164214910 |         ideal
    25 |     4475 |     11 |  0.000000E+00 |  0.000000E+00 |  0.2986628517 |         ideal
    26 |     4654 |     11 |  0.000000E+00 |  0.000000E+00 |  0.2965111795 |         ideal
    27 |     4833 |     12 |  0.000000E+00 |  0.000000E+00 |  0.2030570486 |         ideal
    28 |     5012 |     12 |  0.000000E+00 |  0.000000E+00 |  0.1091155115 |         ideal
    29 |     5191 |     11 |  0.000000E+00 |  0.000000E+00 |  0.1425604510 |         ideal
    30 |     5370 |     14 |  0.000000E+00 |  0.000000E+00 |  0.2630369721 |         ideal
    31 |     5549 |     15 |  0.000000E+00 |  0.000000E+00 |  0.0637358703 |         ideal
    32 |     5728 |     15 |  0.000000E+00 |  0.000000E+00 |  0.0984003980 |         ideal
    33 |     5907 |     14 |  0.000000E+00 |  0.000000E+00 |  0.4075549132 |         ideal
    34 |     6086 |      9 |  0.000000E+00 |  0.000000E+00 |  0.1140077543 |         ideal
    35 |     6265 |     10 |  0.000000E+00 |  0.000000E+00 |  0.3515296904 |         nadir
    36 |     6444 |     10 |  0.000000E+00 |  0.000000E+00 |  0.1933672778 |         ideal
    37 |     6623 |     12 |  0.000000E+00 |  0.000000E+00 |  0.2732885786 |         nadir
    38 |     6802 |     15 |  0.000000E+00 |  0.000000E+00 |  1.5669325371 |         nadir
    39 |     6981 |     22 |  0.000000E+00 |  0.000000E+00 |  0.0665359268 |         ideal
    40 |     7160 |     18 |  0.000000E+00 |  0.000000E+00 |  0.0264296382 |         ideal
    41 |     7339 |     18 |  0.000000E+00 |  0.000000E+00 |  0.0238358609 |         ideal
    42 |     7518 |     22 |  0.000000E+00 |  0.000000E+00 |  0.2399217045 |         ideal
    43 |     7697 |     19 |  0.000000E+00 |  0.000000E+00 |  0.0507388343 |         ideal
    44 |     7876 |     20 |  0.000000E+00 |  0.000000E+00 |  0.0150672328 |         ideal
    45 |     8055 |     17 |  0.000000E+00 |  0.000000E+00 |  0.0032416686 |         ideal
    46 |     8234 |     21 |  0.000000E+00 |  0.000000E+00 |  0.0152768418 |         ideal
    47 |     8413 |     21 |  0.000000E+00 |  0.000000E+00 |  0.0363873037 |         ideal
    48 |     8592 |     26 |  0.000000E+00 |  0.000000E+00 |  0.0355768733 |         ideal
    49 |     8771 |     30 |  0.000000E+00 |  0.000000E+00 |  0.3463024941 |         nadir
    50 |     8950 |     29 |  0.000000E+00 |  0.000000E+00 |  0.0321392358 |         ideal
    51 |     9129 |     22 |  0.000000E+00 |  0.000000E+00 |  0.2391720442 |         ideal
    52 |     9308 |     25 |  0.000000E+00 |  0.000000E+00 |  0.0229703450 |         ideal
    53 |     9487 |     20 |  0.000000E+00 |  0.000000E+00 |  0.1422679782 |         ideal
    54 |     9666 |     25 |  0.000000E+00 |  0.000000E+00 |  0.2999691341 |         ideal
    55 |     9845 |     39 |  0.000000E+00 |  0.000000E+00 |  0.0763577212 |         ideal
    56 |    10024 |     27 |  0.000000E+00 |  0.000000E+00 |  0.0826702317 |         ideal
    57 |    10203 |     29 |  0.000000E+00 |  0.000000E+00 |  0.0219465137 |         ideal
    58 |    10382 |     36 |  0.000000E+00 |  0.000000E+00 |  0.0558895397 |         ideal
    59 |    10561 |     31 |  0.000000E+00 |  0.000000E+00 |  0.0207609044 |         ideal
    60 |    10740 |     28 |  0.000000E+00 |  0.000000E+00 |  0.0817328617 |         ideal
    61 |    10919 |     30 |  0.000000E+00 |  0.000000E+00 |  0.1159357390 |         ideal
    62 |    11098 |     31 |  0.000000E+00 |  0.000000E+00 |  0.1034536415 |         ideal
    63 |    11277 |     35 |  0.000000E+00 |  0.000000E+00 |  0.1153912908 |         ideal
    64 |    11456 |     36 |  0.000000E+00 |  0.000000E+00 |  0.0724801634 |         nadir
    65 |    11635 |     37 |  0.000000E+00 |  0.000000E+00 |  0.0202493384 |         ideal
    66 |    11814 |     39 |  0.000000E+00 |  0.000000E+00 |  0.0256733707 |         ideal
    67 |    11993 |     34 |  0.000000E+00 |  0.000000E+00 |  0.0186765744 |         ideal
    68 |    12172 |     34 |  0.000000E+00 |  0.000000E+00 |  0.0048002086 |         ideal
    69 |    12351 |     35 |  0.000000E+00 |  0.000000E+00 |  0.0159269619 |         ideal
    70 |    12530 |     33 |  0.000000E+00 |  0.000000E+00 |  0.0405650565 |         ideal
    71 |    12709 |     36 |  0.000000E+00 |  0.000000E+00 |  0.0516064891 |         ideal
    72 |    12888 |     39 |  0.000000E+00 |  0.000000E+00 |  0.2406424626 |         nadir
    73 |    13067 |     40 |  0.000000E+00 |  0.000000E+00 |  0.0344314496 |         ideal
    74 |    13246 |     38 |  0.000000E+00 |  0.000000E+00 |  0.0250094861 |         ideal
    75 |    13425 |     41 |  0.000000E+00 |  0.000000E+00 |  0.0406663114 |         ideal
    76 |    13604 |     43 |  0.000000E+00 |  0.000000E+00 |  0.0535783971 |         ideal
    77 |    13783 |     41 |  0.000000E+00 |  0.000000E+00 |  0.0136219770 |         ideal
    78 |    13962 |     40 |  0.000000E+00 |  0.000000E+00 |  0.0341339913 |         ideal
    79 |    14141 |     40 |  0.000000E+00 |  0.000000E+00 |  0.0130823472 |         ideal
    80 |    14320 |     37 |  0.000000E+00 |  0.000000E+00 |  0.0679872717 |         nadir
    81 |    14499 |     41 |  0.000000E+00 |  0.000000E+00 |  0.0500572964 |         ideal
    82 |    14678 |     40 |  0.000000E+00 |  0.000000E+00 |  0.0182846662 |         ideal
    83 |    14857 |     38 |  0.000000E+00 |  0.000000E+00 |  0.0130043217 |         nadir
    84 |    15036 |     35 |  0.000000E+00 |  0.000000E+00 |  0.0379993362 |         ideal
    85 |    15215 |     39 |  0.000000E+00 |  0.000000E+00 |  0.0185278613 |         ideal
    86 |    15394 |     43 |  0.000000E+00 |  0.000000E+00 |  0.1219147922 |         ideal
    87 |    15573 |     38 |  0.000000E+00 |  0.000000E+00 |  0.1388416421 |         ideal
    88 |    15752 |     42 |  0.000000E+00 |  0.000000E+00 |  0.1400157421 |         ideal
    89 |    15931 |     38 |  0.000000E+00 |  0.000000E+00 |  0.1252446004 |         ideal
    90 |    16110 |     36 |  0.000000E+00 |  0.000000E+00 |  0.0309483057 |         ideal
    91 |    16289 |     35 |  0.000000E+00 |  0.000000E+00 |  0.1153245705 |         ideal
    92 |    16468 |     38 |  0.000000E+00 |  0.000000E+00 |  0.0339033820 |         ideal
    93 |    16647 |     40 |  0.000000E+00 |  0.000000E+00 |  0.0718734658 |         ideal
    94 |    16826 |     42 |  0.000000E+00 |  0.000000E+00 |  0.0097516321 |         nadir
    95 |    17005 |     42 |  0.000000E+00 |  0.000000E+00 |  0.0604576594 |         ideal
    96 |    17184 |     47 |  0.000000E+00 |  0.000000E+00 |  0.0100420713 |         ideal
    97 |    17363 |     34 |  0.000000E+00 |  0.000000E+00 |  0.0703702754 |         ideal
    98 |    17542 |     34 |  0.000000E+00 |  0.000000E+00 |  0.0856643904 |         ideal
    99 |    17721 |     38 |  0.000000E+00 |  0.000000E+00 |  0.0166871841 |         ideal
   100 |    17900 |     43 |  0.000000E+00 |  0.000000E+00 |  0.0826969407 |             f
   101 |    18079 |     41 |  0.000000E+00 |  0.000000E+00 |  0.0123840786 |         ideal
   102 |    18258 |     39 |  0.000000E+00 |  0.000000E+00 |  1.0554399380 |         nadir
   103 |    18437 |     39 |  0.000000E+00 |  0.000000E+00 |  1.3552852549 |         nadir
   104 |    18616 |     37 |  0.000000E+00 |  0.000000E+00 |  0.0093448362 |         ideal
   105 |    18795 |     42 |  0.000000E+00 |  0.000000E+00 |  0.0038199846 |         ideal
   106 |    18974 |     47 |  0.000000E+00 |  0.000000E+00 |  0.0136731491 |         ideal
   107 |    19153 |     43 |  0.000000E+00 |  0.000000E+00 |  0.0158105073 |         ideal
   108 |    19332 |     44 |  0.000000E+00 |  0.000000E+00 |  0.0118977211 |         ideal
   109 |    19511 |     49 |  0.000000E+00 |  0.000000E+00 |  0.0368284692 |         ideal
   110 |    19690 |     44 |  0.000000E+00 |  0.000000E+00 |  1.0391867701 |         nadir
   111 |    19869 |     49 |  0.000000E+00 |  0.000000E+00 |  0.0355203106 |         ideal
   112 |    20048 |     54 |  0.000000E+00 |  0.000000E+00 |  0.0076765452 |         ideal
   113 |    20227 |     54 |  0.000000E+00 |  0.000000E+00 |  0.0137948909 |         ideal
   114 |    20406 |     48 |  0.000000E+00 |  0.000000E+00 |  0.0394204576 |         ideal
   115 |    20585 |     47 |  0.000000E+00 |  0.000000E+00 |  0.8477713665 |         nadir
   116 |    20764 |     47 |  0.000000E+00 |  0.000000E+00 |  3.9083983797 |         nadir
   117 |    20943 |     45 |  0.000000E+00 |  0.000000E+00 |  0.0110932187 |         ideal
   118 |    21122 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0043885707 |         ideal
   119 |    21301 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0115393950 |         ideal
   120 |    21480 |     49 |  0.000000E+00 |  0.000000E+00 |  0.0134525287 |         ideal
   121 |    21659 |     51 |  0.000000E+00 |  0.000000E+00 |  0.1009774718 |         nadir
   122 |    21838 |     47 |  0.000000E+00 |  0.000000E+00 |  0.0209120350 |         ideal
   123 |    22017 |     48 |  0.000000E+00 |  0.000000E+00 |  3.8192467154 |         nadir
   124 |    22196 |     53 |  0.000000E+00 |  0.000000E+00 |  0.7924986914 |         nadir
   125 |    22375 |     54 |  0.000000E+00 |  0.000000E+00 |  0.0199398589 |         nadir
   126 |    22554 |     56 |  0.000000E+00 |  0.000000E+00 |  0.0072479330 |         ideal
   127 |    22733 |     55 |  0.000000E+00 |  0.000000E+00 |  0.0133050999 |         ideal
   128 |    22912 |     55 |  0.000000E+00 |  0.000000E+00 |  0.0354115673 |         ideal
   129 |    23091 |     56 |  0.000000E+00 |  0.000000E+00 |  0.0169527864 |         ideal
