Objectives = ['-0.1846181198307', '0.0320525705636', '0.0168470064451', '0.1268089751587', '0.1419373994075', '0.1552219850951', '0.3596580071305', '0.3276432724365', '0.2409488867638', '0.2351572402841', '0.2359466277781', '0.4774079976062']
The time of execution of above program is : 128101.48882865906 ms
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      179 |      7 |  0.000000E+00 |  1.342069E+04 |             - |             -
     2 |      358 |      3 |  0.000000E+00 |  0.000000E+00 |  1.2330480150 |         ideal
     3 |      537 |      6 |  0.000000E+00 |  0.000000E+00 |  0.4960640739 |         ideal
     4 |      716 |      9 |  0.000000E+00 |  0.000000E+00 |  0.1977224510 |         ideal
     5 |      895 |     10 |  0.000000E+00 |  0.000000E+00 |  0.1526569053 |         ideal
     6 |     1074 |      9 |  0.000000E+00 |  0.000000E+00 |  0.1852267830 |         ideal
     7 |     1253 |     16 |  0.000000E+00 |  0.000000E+00 |  0.4071084645 |         ideal
     8 |     1432 |     16 |  0.000000E+00 |  0.000000E+00 |  0.1014663561 |         ideal
     9 |     1611 |     12 |  0.000000E+00 |  0.000000E+00 |  0.0921193422 |         ideal
    10 |     1790 |     10 |  0.000000E+00 |  0.000000E+00 |  0.2015286591 |         ideal
    11 |     1969 |     10 |  0.000000E+00 |  0.000000E+00 |  0.2188231052 |         ideal
    12 |     2148 |     15 |  0.000000E+00 |  0.000000E+00 |  0.1115437986 |         ideal
    13 |     2327 |      7 |  0.000000E+00 |  0.000000E+00 |  0.1966250882 |         ideal
    14 |     2506 |      7 |  0.000000E+00 |  0.000000E+00 |  0.7492470985 |         ideal
    15 |     2685 |      9 |  0.000000E+00 |  0.000000E+00 |  0.2928669265 |         ideal
    16 |     2864 |     10 |  0.000000E+00 |  0.000000E+00 |  0.4022367943 |         ideal
    17 |     3043 |     12 |  0.000000E+00 |  0.000000E+00 |  0.0619344682 |         ideal
    18 |     3222 |      4 |  0.000000E+00 |  0.000000E+00 |  0.4467886358 |         ideal
    19 |     3401 |      5 |  0.000000E+00 |  0.000000E+00 |  0.3418757569 |         ideal
    20 |     3580 |      7 |  0.000000E+00 |  0.000000E+00 |  0.2847854079 |         ideal
    21 |     3759 |      7 |  0.000000E+00 |  0.000000E+00 |  0.1763648230 |         ideal
    22 |     3938 |      7 |  0.000000E+00 |  0.000000E+00 |  1.0680809819 |         ideal
    23 |     4117 |     10 |  0.000000E+00 |  0.000000E+00 |  0.4311827399 |         ideal
    24 |     4296 |     12 |  0.000000E+00 |  0.000000E+00 |  0.1358255008 |         ideal
    25 |     4475 |     14 |  0.000000E+00 |  0.000000E+00 |  0.1733661694 |         ideal
    26 |     4654 |      2 |  0.000000E+00 |  0.000000E+00 |  2.8812559608 |         ideal
    27 |     4833 |      3 |  0.000000E+00 |  0.000000E+00 |  0.4619775451 |         ideal
    28 |     5012 |      6 |  0.000000E+00 |  0.000000E+00 |  0.3524681134 |         ideal
    29 |     5191 |      5 |  0.000000E+00 |  0.000000E+00 |  0.0143757872 |         ideal
    30 |     5370 |      7 |  0.000000E+00 |  0.000000E+00 |  0.4326472231 |         ideal
    31 |     5549 |      4 |  0.000000E+00 |  0.000000E+00 |  0.2750108015 |         ideal
    32 |     5728 |      5 |  0.000000E+00 |  0.000000E+00 |  0.2716708802 |         ideal
    33 |     5907 |      9 |  0.000000E+00 |  0.000000E+00 |  0.1781922344 |         ideal
    34 |     6086 |     14 |  0.000000E+00 |  0.000000E+00 |  0.1667785722 |         ideal
    35 |     6265 |      9 |  0.000000E+00 |  0.000000E+00 |  0.0787053250 |         ideal
    36 |     6444 |     11 |  0.000000E+00 |  0.000000E+00 |  0.8213952805 |         ideal
    37 |     6623 |     10 |  0.000000E+00 |  0.000000E+00 |  0.4509703573 |         ideal
    38 |     6802 |     11 |  0.000000E+00 |  0.000000E+00 |  1.0285914913 |         ideal
    39 |     6981 |     12 |  0.000000E+00 |  0.000000E+00 |  0.5070471289 |         ideal
    40 |     7160 |     13 |  0.000000E+00 |  0.000000E+00 |  0.2956846571 |         ideal
    41 |     7339 |     14 |  0.000000E+00 |  0.000000E+00 |  0.1453231180 |         ideal
    42 |     7518 |      9 |  0.000000E+00 |  0.000000E+00 |  0.3091395100 |         ideal
    43 |     7697 |     11 |  0.000000E+00 |  0.000000E+00 |  0.0493633246 |         ideal
    44 |     7876 |     14 |  0.000000E+00 |  0.000000E+00 |  0.0581103262 |         ideal
    45 |     8055 |     10 |  0.000000E+00 |  0.000000E+00 |  0.1188660388 |         ideal
    46 |     8234 |     13 |  0.000000E+00 |  0.000000E+00 |  0.1704008199 |         ideal
    47 |     8413 |     11 |  0.000000E+00 |  0.000000E+00 |  0.2291702456 |         ideal
    48 |     8592 |     13 |  0.000000E+00 |  0.000000E+00 |  0.1293176939 |         ideal
    49 |     8771 |     15 |  0.000000E+00 |  0.000000E+00 |  0.2143200243 |         ideal
    50 |     8950 |     13 |  0.000000E+00 |  0.000000E+00 |  0.4608899542 |         ideal
    51 |     9129 |     14 |  0.000000E+00 |  0.000000E+00 |  0.2943021353 |         ideal
    52 |     9308 |     16 |  0.000000E+00 |  0.000000E+00 |  0.1281746600 |         ideal
    53 |     9487 |     20 |  0.000000E+00 |  0.000000E+00 |  0.0391638230 |         ideal
    54 |     9666 |     21 |  0.000000E+00 |  0.000000E+00 |  0.2685807454 |         ideal
    55 |     9845 |     21 |  0.000000E+00 |  0.000000E+00 |  0.0346761429 |         ideal
    56 |    10024 |     17 |  0.000000E+00 |  0.000000E+00 |  0.1212758956 |         ideal
    57 |    10203 |      9 |  0.000000E+00 |  0.000000E+00 |  0.3362166850 |         ideal
    58 |    10382 |     14 |  0.000000E+00 |  0.000000E+00 |  0.0920496311 |         ideal
    59 |    10561 |     16 |  0.000000E+00 |  0.000000E+00 |  0.3107952264 |         ideal
    60 |    10740 |     20 |  0.000000E+00 |  0.000000E+00 |  0.0866214571 |         ideal
    61 |    10919 |     23 |  0.000000E+00 |  0.000000E+00 |  0.2819454432 |         ideal
    62 |    11098 |     22 |  0.000000E+00 |  0.000000E+00 |  0.0502893271 |         ideal
    63 |    11277 |     25 |  0.000000E+00 |  0.000000E+00 |  0.0160767863 |         ideal
    64 |    11456 |     24 |  0.000000E+00 |  0.000000E+00 |  0.1969677903 |         ideal
    65 |    11635 |     26 |  0.000000E+00 |  0.000000E+00 |  0.0495105112 |         ideal
    66 |    11814 |     26 |  0.000000E+00 |  0.000000E+00 |  0.8681900169 |         nadir
    67 |    11993 |     26 |  0.000000E+00 |  0.000000E+00 |  0.0557902380 |         ideal
    68 |    12172 |     22 |  0.000000E+00 |  0.000000E+00 |  0.1151677694 |         ideal
    69 |    12351 |     22 |  0.000000E+00 |  0.000000E+00 |  0.0318589543 |         ideal
    70 |    12530 |     27 |  0.000000E+00 |  0.000000E+00 |  0.0834781869 |         ideal
    71 |    12709 |     17 |  0.000000E+00 |  0.000000E+00 |  0.0780859890 |         ideal
    72 |    12888 |     21 |  0.000000E+00 |  0.000000E+00 |  0.0061963604 |         ideal
    73 |    13067 |     22 |  0.000000E+00 |  0.000000E+00 |  0.1199109651 |         ideal
    74 |    13246 |     26 |  0.000000E+00 |  0.000000E+00 |  0.3246728639 |         nadir
    75 |    13425 |     30 |  0.000000E+00 |  0.000000E+00 |  0.0312786755 |         ideal
    76 |    13604 |     36 |  0.000000E+00 |  0.000000E+00 |  0.0166541237 |         ideal
    77 |    13783 |     22 |  0.000000E+00 |  0.000000E+00 |  0.0743008168 |         ideal
    78 |    13962 |     20 |  0.000000E+00 |  0.000000E+00 |  0.0322777073 |         ideal
    79 |    14141 |     19 |  0.000000E+00 |  0.000000E+00 |  0.0377863118 |         ideal
    80 |    14320 |     20 |  0.000000E+00 |  0.000000E+00 |  0.0111550710 |         ideal
    81 |    14499 |     20 |  0.000000E+00 |  0.000000E+00 |  0.0177389458 |         ideal
    82 |    14678 |     21 |  0.000000E+00 |  0.000000E+00 |  0.0537038641 |         ideal
    83 |    14857 |     19 |  0.000000E+00 |  0.000000E+00 |  0.0870619374 |         ideal
    84 |    15036 |     14 |  0.000000E+00 |  0.000000E+00 |  0.0953645608 |         ideal
    85 |    15215 |     20 |  0.000000E+00 |  0.000000E+00 |  0.7067366273 |         nadir
    86 |    15394 |     22 |  0.000000E+00 |  0.000000E+00 |  0.1340162280 |         ideal
