Objectives = ['-0.1736568181857', '0.0012557957633', '0.0850808613362', '0.0769099302212']
The time of execution of above program is : 66146.27289772034 ms
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      179 |      8 |  0.000000E+00 |  0.000000E+00 |             - |             -
     2 |      358 |      7 |  0.000000E+00 |  0.000000E+00 |  0.9718186765 |         ideal
     3 |      537 |     20 |  0.000000E+00 |  0.000000E+00 |  0.0442702120 |         ideal
     4 |      716 |     16 |  0.000000E+00 |  0.000000E+00 |  0.2051879127 |         ideal
     5 |      895 |     12 |  0.000000E+00 |  0.000000E+00 |  0.1059127337 |         ideal
     6 |     1074 |     15 |  0.000000E+00 |  0.000000E+00 |  0.0228996368 |         ideal
     7 |     1253 |     18 |  0.000000E+00 |  0.000000E+00 |  0.0784544130 |         ideal
     8 |     1432 |     17 |  0.000000E+00 |  0.000000E+00 |  0.0524478734 |         ideal
     9 |     1611 |     23 |  0.000000E+00 |  0.000000E+00 |  0.0346250719 |         ideal
    10 |     1790 |     24 |  0.000000E+00 |  0.000000E+00 |  0.0407014536 |         ideal
    11 |     1969 |     33 |  0.000000E+00 |  0.000000E+00 |  0.0643042306 |         ideal
    12 |     2148 |     32 |  0.000000E+00 |  0.000000E+00 |  0.1283655793 |         ideal
    13 |     2327 |     33 |  0.000000E+00 |  0.000000E+00 |  0.0039154914 |         ideal
    14 |     2506 |     41 |  0.000000E+00 |  0.000000E+00 |  0.0217780799 |         ideal
    15 |     2685 |     38 |  0.000000E+00 |  0.000000E+00 |  0.0211447419 |         ideal
    16 |     2864 |     43 |  0.000000E+00 |  0.000000E+00 |  0.0058123976 |         ideal
    17 |     3043 |     48 |  0.000000E+00 |  0.000000E+00 |  0.0565512344 |         ideal
    18 |     3222 |     52 |  0.000000E+00 |  0.000000E+00 |  0.0060449650 |         ideal
    19 |     3401 |     51 |  0.000000E+00 |  0.000000E+00 |  0.0092854695 |         ideal
    20 |     3580 |     56 |  0.000000E+00 |  0.000000E+00 |  0.0206722232 |         nadir
    21 |     3759 |     44 |  0.000000E+00 |  0.000000E+00 |  0.1261723721 |         ideal
    22 |     3938 |     44 |  0.000000E+00 |  0.000000E+00 |  0.0248702688 |             f
    23 |     4117 |     54 |  0.000000E+00 |  0.000000E+00 |  0.0270997831 |         ideal
    24 |     4296 |     42 |  0.000000E+00 |  0.000000E+00 |  0.0546003088 |         ideal
    25 |     4475 |     56 |  0.000000E+00 |  0.000000E+00 |  0.0576510766 |         ideal
    26 |     4654 |     57 |  0.000000E+00 |  0.000000E+00 |  0.0233094189 |         ideal
    27 |     4833 |     61 |  0.000000E+00 |  0.000000E+00 |  0.0067786524 |         ideal
    28 |     5012 |     59 |  0.000000E+00 |  0.000000E+00 |  0.0076866959 |         ideal
    29 |     5191 |     60 |  0.000000E+00 |  0.000000E+00 |  0.0077462389 |         ideal
    30 |     5370 |     41 |  0.000000E+00 |  0.000000E+00 |  0.0457276173 |         ideal
    31 |     5549 |     44 |  0.000000E+00 |  0.000000E+00 |  0.0208263616 |         ideal
    32 |     5728 |     44 |  0.000000E+00 |  0.000000E+00 |  0.0134520616 |         ideal
    33 |     5907 |     46 |  0.000000E+00 |  0.000000E+00 |  0.0561965177 |         ideal
