Objectives = ['-0.2218804689001', '0.0155845433333', '0.0083644500000', '0.1876774000000', '0.0150736400000', '0.0420982750000']
The time of execution of above program is : 89815.90819358826 ms
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      179 |     24 |  0.000000E+00 |  0.000000E+00 |             - |             -
     2 |      358 |     31 |  0.000000E+00 |  0.000000E+00 |  0.1920941991 |         ideal
     3 |      537 |     25 |  0.000000E+00 |  0.000000E+00 |  0.3314531427 |         ideal
     4 |      716 |     25 |  0.000000E+00 |  0.000000E+00 |  0.0806232100 |         ideal
     5 |      895 |     28 |  0.000000E+00 |  0.000000E+00 |  0.0864569880 |         ideal
     6 |     1074 |     33 |  0.000000E+00 |  0.000000E+00 |  0.1727785791 |         ideal
     7 |     1253 |     31 |  0.000000E+00 |  0.000000E+00 |  0.2594622080 |         ideal
     8 |     1432 |     30 |  0.000000E+00 |  0.000000E+00 |  0.1796937221 |         ideal
     9 |     1611 |     33 |  0.000000E+00 |  0.000000E+00 |  0.0851756744 |         ideal
    10 |     1790 |     37 |  0.000000E+00 |  0.000000E+00 |  0.3811599412 |         ideal
    11 |     1969 |     35 |  0.000000E+00 |  0.000000E+00 |  0.0281996444 |         ideal
    12 |     2148 |     34 |  0.000000E+00 |  0.000000E+00 |  0.0144518022 |         ideal
    13 |     2327 |     39 |  0.000000E+00 |  0.000000E+00 |  0.0037055166 |         ideal
    14 |     2506 |     37 |  0.000000E+00 |  0.000000E+00 |  0.0872933020 |         ideal
    15 |     2685 |     38 |  0.000000E+00 |  0.000000E+00 |  0.0833402354 |         ideal
    16 |     2864 |     34 |  0.000000E+00 |  0.000000E+00 |  0.0789107418 |         ideal
    17 |     3043 |     36 |  0.000000E+00 |  0.000000E+00 |  0.3666021165 |         nadir
    18 |     3222 |     40 |  0.000000E+00 |  0.000000E+00 |  0.1077533011 |         ideal
    19 |     3401 |     39 |  0.000000E+00 |  0.000000E+00 |  0.0454114264 |         ideal
    20 |     3580 |     40 |  0.000000E+00 |  0.000000E+00 |  0.1122703907 |         ideal
    21 |     3759 |     39 |  0.000000E+00 |  0.000000E+00 |  0.0666923453 |         ideal
    22 |     3938 |     41 |  0.000000E+00 |  0.000000E+00 |  0.1309949859 |         ideal
    23 |     4117 |     42 |  0.000000E+00 |  0.000000E+00 |  0.0603781550 |         ideal
    24 |     4296 |     42 |  0.000000E+00 |  0.000000E+00 |  0.0350645875 |         ideal
    25 |     4475 |     48 |  0.000000E+00 |  0.000000E+00 |  0.1021656484 |             f
    26 |     4654 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0397472041 |         ideal
    27 |     4833 |     52 |  0.000000E+00 |  0.000000E+00 |  0.0400295251 |         ideal
    28 |     5012 |     52 |  0.000000E+00 |  0.000000E+00 |  0.0793845085 |         nadir
    29 |     5191 |     54 |  0.000000E+00 |  0.000000E+00 |  0.0223273251 |         ideal
    30 |     5370 |     54 |  0.000000E+00 |  0.000000E+00 |  0.0068205626 |         ideal
    31 |     5549 |     55 |  0.000000E+00 |  0.000000E+00 |  0.0241029771 |         ideal
    32 |     5728 |     55 |  0.000000E+00 |  0.000000E+00 |  0.0221282591 |         ideal
    33 |     5907 |     54 |  0.000000E+00 |  0.000000E+00 |  0.0123914681 |         ideal
    34 |     6086 |     56 |  0.000000E+00 |  0.000000E+00 |  0.0314838124 |         ideal
    35 |     6265 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0476806538 |         ideal
    36 |     6444 |     61 |  0.000000E+00 |  0.000000E+00 |  0.0144828376 |         ideal
    37 |     6623 |     59 |  0.000000E+00 |  0.000000E+00 |  0.0251594683 |         ideal
    38 |     6802 |     61 |  0.000000E+00 |  0.000000E+00 |  0.1974385626 |         nadir
    39 |     6981 |     61 |  0.000000E+00 |  0.000000E+00 |  0.0255242456 |         ideal
    40 |     7160 |     63 |  0.000000E+00 |  0.000000E+00 |  0.0305897078 |             f
    41 |     7339 |     63 |  0.000000E+00 |  0.000000E+00 |  0.0247705274 |             f
    42 |     7518 |     65 |  0.000000E+00 |  0.000000E+00 |  0.0047841263 |         ideal
    43 |     7697 |     67 |  0.000000E+00 |  0.000000E+00 |  0.0205562791 |         ideal
    44 |     7876 |     53 |  0.000000E+00 |  0.000000E+00 |  0.0131476974 |         ideal
    45 |     8055 |     56 |  0.000000E+00 |  0.000000E+00 |  0.0095384029 |         ideal
    46 |     8234 |     63 |  0.000000E+00 |  0.000000E+00 |  0.0095042839 |         ideal
    47 |     8413 |     64 |  0.000000E+00 |  0.000000E+00 |  0.0095954821 |         ideal
