Objectives = ['-0.2998973068664', '0.1138125791482', '0.0560339916887', '0.0915496113492', '0.8027797344094', '0.7775908025905', '0.3933532641750', '0.1209066823776', '0.0763172174780', '0.0457533654899', '0.0499614498686', '0.1197935980162']
The time of execution of above program is : 241906.75902366638 ms
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      179 |    173 |  0.000000E+00 |  0.000000E+00 |             - |             -
     2 |      358 |    109 |  0.000000E+00 |  0.000000E+00 |  0.2547936611 |         ideal
     3 |      537 |    105 |  0.000000E+00 |  0.000000E+00 |  0.2027957573 |         ideal
     4 |      716 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0219584173 |         ideal
     5 |      895 |    179 |  0.000000E+00 |  0.000000E+00 |  0.1197046118 |         ideal
     6 |     1074 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0563117901 |         ideal
     7 |     1253 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0606505735 |         ideal
     8 |     1432 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0600722818 |         ideal
     9 |     1611 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0888203507 |         ideal
    10 |     1790 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0941320780 |         ideal
    11 |     1969 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0067301785 |         ideal
    12 |     2148 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0031116068 |         ideal
    13 |     2327 |    179 |  0.000000E+00 |  0.000000E+00 |  0.1222829467 |         ideal
    14 |     2506 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0578723105 |         ideal
    15 |     2685 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0408546710 |         ideal
    16 |     2864 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0517980347 |         ideal
    17 |     3043 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0423095419 |         ideal
    18 |     3222 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0525272408 |         ideal
