Objectives = ['-0.2999136891508', '0.0742266958774', '0.5766558896745', '0.4512030975925', '0.3328921052136', '0.2392100966931', '0.2528225966098', '0.2475900700687', '0.2371736128999', '0.1904531869628', '0.3435985016185', '0.9390198491461']
The time of execution of above program is : 243019.34099197388 ms
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      179 |    171 |  0.000000E+00 |  0.000000E+00 |             - |             -
     2 |      358 |    179 |  0.000000E+00 |  0.000000E+00 |  0.2761442593 |         ideal
     3 |      537 |    179 |  0.000000E+00 |  0.000000E+00 |  0.1096210620 |         ideal
     4 |      716 |    179 |  0.000000E+00 |  0.000000E+00 |  0.1041035756 |         ideal
     5 |      895 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0424633826 |         ideal
     6 |     1074 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0602377172 |         ideal
     7 |     1253 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0916606906 |         ideal
     8 |     1432 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0410885194 |         ideal
     9 |     1611 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0538377274 |         ideal
    10 |     1790 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0715854572 |         ideal
    11 |     1969 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0475735342 |         ideal
    12 |     2148 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0135834934 |         ideal
    13 |     2327 |    179 |  0.000000E+00 |  0.000000E+00 |  0.1099487723 |         ideal
    14 |     2506 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0714930471 |         ideal
    15 |     2685 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0750617627 |         ideal
    16 |     2864 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0526044532 |         ideal
    17 |     3043 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0555253330 |         ideal
    18 |     3222 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0221643868 |         ideal
    19 |     3401 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0705305779 |         ideal
    20 |     3580 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0402363324 |         ideal
    21 |     3759 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0404141704 |         ideal
    22 |     3938 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0071415076 |         ideal
    23 |     4117 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0393353170 |         ideal
    24 |     4296 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0105061435 |         ideal
    25 |     4475 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0593639183 |         ideal
    26 |     4654 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0571091051 |         ideal
    27 |     4833 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0605680948 |         ideal
    28 |     5012 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0511774650 |         ideal
    29 |     5191 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0485105796 |         ideal
    30 |     5370 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0123849241 |         ideal
    31 |     5549 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0858631662 |         ideal
    32 |     5728 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0134046635 |         ideal
    33 |     5907 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0233961499 |         ideal
    34 |     6086 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0038034513 |         ideal
    35 |     6265 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0211294983 |         ideal
    36 |     6444 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0548252225 |         ideal
    37 |     6623 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0238192515 |         ideal
    38 |     6802 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0313922635 |         ideal
    39 |     6981 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0493336431 |         ideal
    40 |     7160 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0207129149 |         ideal
    41 |     7339 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0176691131 |         ideal
    42 |     7518 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0305011551 |         ideal
    43 |     7697 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0314017106 |         ideal
    44 |     7876 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0172974788 |         ideal
    45 |     8055 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0128151027 |         ideal
    46 |     8234 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0079993103 |         ideal
    47 |     8413 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0030909228 |         ideal
    48 |     8592 |    179 |  0.000000E+00 |  0.000000E+00 |  0.1819931830 |         nadir
    49 |     8771 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0028246584 |         ideal
    50 |     8950 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0089668590 |         ideal
    51 |     9129 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0107867376 |         ideal
    52 |     9308 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0041236534 |         ideal
    53 |     9487 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0053083219 |         ideal
    54 |     9666 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0378047538 |         ideal
    55 |     9845 |    179 |  0.000000E+00 |  0.000000E+00 |  0.1145116759 |         nadir
    56 |    10024 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0163043011 |         nadir
    57 |    10203 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0045002818 |         ideal
    58 |    10382 |    179 |  0.000000E+00 |  0.000000E+00 |  0.3791662183 |         nadir
    59 |    10561 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0057554039 |         ideal
    60 |    10740 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0276689483 |         nadir
    61 |    10919 |    179 |  0.000000E+00 |  0.000000E+00 |  0.2080095535 |         nadir
    62 |    11098 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0347213962 |         ideal
    63 |    11277 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0192584310 |         ideal
    64 |    11456 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0251828414 |         ideal
    65 |    11635 |    179 |  0.000000E+00 |  0.000000E+00 |  0.3708817627 |         nadir
    66 |    11814 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0113014293 |         ideal
    67 |    11993 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0036341666 |         ideal
    68 |    12172 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0271093556 |         ideal
    69 |    12351 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0146375559 |         ideal
    70 |    12530 |    179 |  0.000000E+00 |  0.000000E+00 |  0.1132743863 |         nadir
    71 |    12709 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0025805381 |         ideal
    72 |    12888 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0069883551 |         ideal
    73 |    13067 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0053329619 |         ideal
    74 |    13246 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0092728672 |         ideal
    75 |    13425 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0066973275 |         ideal
    76 |    13604 |    179 |  0.000000E+00 |  0.000000E+00 |  0.1001840806 |         nadir
    77 |    13783 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0156148589 |         ideal
    78 |    13962 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0060815983 |         ideal
    79 |    14141 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0118130599 |         ideal
    80 |    14320 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0067682967 |         ideal
    81 |    14499 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0057746637 |         ideal
    82 |    14678 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0760986426 |         nadir
    83 |    14857 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0092922257 |         ideal
    84 |    15036 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0706130728 |             f
    85 |    15215 |    179 |  0.000000E+00 |  0.000000E+00 |  0.1299408076 |         nadir
    86 |    15394 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0098991101 |         ideal
    87 |    15573 |    179 |  0.000000E+00 |  0.000000E+00 |  0.2327422330 |         nadir
    88 |    15752 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0028617061 |         ideal
    89 |    15931 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0130852990 |         ideal
    90 |    16110 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0211434473 |         ideal
    91 |    16289 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0083242010 |         ideal
    92 |    16468 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0084282652 |         nadir
    93 |    16647 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0227768578 |         ideal
    94 |    16826 |    179 |  0.000000E+00 |  0.000000E+00 |  0.2234836720 |         nadir
    95 |    17005 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0027134871 |         ideal
    96 |    17184 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0175733922 |         ideal
    97 |    17363 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0290498973 |         nadir
    98 |    17542 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0042085336 |         ideal
    99 |    17721 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0042263202 |         ideal
   100 |    17900 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0205673580 |         ideal
   101 |    18079 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0060824162 |         ideal
   102 |    18258 |    179 |  0.000000E+00 |  0.000000E+00 |  0.4531143116 |         nadir
   103 |    18437 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0061640768 |         ideal
   104 |    18616 |    179 |  0.000000E+00 |  0.000000E+00 |  0.2655087498 |         nadir
   105 |    18795 |    179 |  0.000000E+00 |  0.000000E+00 |  0.1902954414 |         nadir
   106 |    18974 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0034617773 |         ideal
   107 |    19153 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0088984233 |         ideal
   108 |    19332 |    179 |  0.000000E+00 |  0.000000E+00 |  0.1652432583 |         nadir
   109 |    19511 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0112605992 |         ideal
   110 |    19690 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0077694481 |         ideal
   111 |    19869 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0113888444 |         ideal
   112 |    20048 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0036672019 |         ideal
   113 |    20227 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0571601290 |         nadir
   114 |    20406 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0606254899 |         nadir
   115 |    20585 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0069670115 |         ideal
   116 |    20764 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0079939972 |         ideal
   117 |    20943 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0046750467 |         ideal
   118 |    21122 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0079036899 |         ideal
   119 |    21301 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0071353112 |         ideal
   120 |    21480 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0033158623 |         ideal
   121 |    21659 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0046444265 |         ideal
   122 |    21838 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0188132062 |         ideal
   123 |    22017 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0254081967 |         ideal
   124 |    22196 |    179 |  0.000000E+00 |  0.000000E+00 |  0.3581287630 |         nadir
   125 |    22375 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0025692569 |         ideal
   126 |    22554 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0038000210 |         ideal
   127 |    22733 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0083630157 |         ideal
   128 |    22912 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0450334818 |         nadir
   129 |    23091 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0262662324 |         nadir
   130 |    23270 |    179 |  0.000000E+00 |  0.000000E+00 |  0.1430326986 |         nadir
   131 |    23449 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0067453465 |         nadir
   132 |    23628 |    179 |  0.000000E+00 |  0.000000E+00 |  0.1230451394 |         nadir
   133 |    23807 |    179 |  0.000000E+00 |  0.000000E+00 |  0.3089618086 |         nadir
   134 |    23986 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0191739293 |         ideal
   135 |    24165 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0036535403 |         ideal
   136 |    24344 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0036988472 |         ideal
   137 |    24523 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0037125795 |         ideal
   138 |    24702 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0386140057 |             f
   139 |    24881 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0060590711 |         nadir
   140 |    25060 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0432321658 |         ideal
   141 |    25239 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0351468127 |         ideal
   142 |    25418 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0042312165 |         ideal
   143 |    25597 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0096979732 |         ideal
   144 |    25776 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0572102792 |         nadir
