Objectives = ['-0.2999852844563', '0.0371929250288', '0.0106130194189', '0.0073361458807', '0.1219658583323', '0.1413791688325', '0.1503400092156', '0.0264124103981', '0.0321479125994', '0.1334160992512', '0.2181360631858', '0.7644468471833']
The time of execution of above program is : 768541.0289764404 ms
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      179 |    172 |  0.000000E+00 |  2.781852E+02 |             - |             -
     2 |      358 |    179 |  0.000000E+00 |  0.000000E+00 |  0.2606133483 |         ideal
     3 |      537 |    179 |  0.000000E+00 |  0.000000E+00 |  0.2203076659 |         ideal
     4 |      716 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0900917387 |         ideal
     5 |      895 |    179 |  0.000000E+00 |  0.000000E+00 |  0.1179929076 |         ideal
     6 |     1074 |    179 |  0.000000E+00 |  0.000000E+00 |  0.1177739987 |         ideal
     7 |     1253 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0424988891 |         ideal
     8 |     1432 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0304196570 |         ideal
     9 |     1611 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0566482103 |         ideal
    10 |     1790 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0639887692 |         ideal
    11 |     1969 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0452056741 |         ideal
    12 |     2148 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0619493974 |         ideal
    13 |     2327 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0186071844 |         ideal
    14 |     2506 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0402893752 |         ideal
    15 |     2685 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0397398798 |         ideal
    16 |     2864 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0216433480 |         ideal
    17 |     3043 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0259537137 |         ideal
    18 |     3222 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0191808868 |         ideal
    19 |     3401 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0237723872 |         ideal
    20 |     3580 |    179 |  0.000000E+00 |  0.000000E+00 |  0.1350918465 |         nadir
    21 |     3759 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0154837374 |         ideal
    22 |     3938 |    179 |  0.000000E+00 |  0.000000E+00 |  0.0027297091 |         ideal
    23 |     4117 |    179 |  0.000000E+00 |  0.000000E+00 |  0.1525434516 |         nadir
