Objectives = ['-0.2867417630552', '0.0509728452038', '0.0041667928782', '0.0173634397614', '0.0269219133609', '0.7019113367392', '0.0518577228724', '0.0237363619563', '0.0268941565913', '0.0206831399290', '0.0306892114138', '0.1300191589815']
The time of execution of above program is : 167388.37814331055 ms
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      179 |     17 |  0.000000E+00 |  0.000000E+00 |             - |             -
     2 |      358 |      4 |  0.000000E+00 |  0.000000E+00 |  0.7142474682 |         ideal
     3 |      537 |      8 |  0.000000E+00 |  0.000000E+00 |  0.5499649171 |         ideal
     4 |      716 |     12 |  0.000000E+00 |  0.000000E+00 |  0.4109826076 |         ideal
     5 |      895 |     13 |  0.000000E+00 |  0.000000E+00 |  0.2280551238 |         ideal
     6 |     1074 |     14 |  0.000000E+00 |  0.000000E+00 |  0.2902529185 |         ideal
     7 |     1253 |     20 |  0.000000E+00 |  0.000000E+00 |  0.1058619747 |         ideal
     8 |     1432 |     16 |  0.000000E+00 |  0.000000E+00 |  0.1544364435 |         ideal
     9 |     1611 |     15 |  0.000000E+00 |  0.000000E+00 |  0.3567575752 |         ideal
    10 |     1790 |     16 |  0.000000E+00 |  0.000000E+00 |  0.0416499170 |         ideal
    11 |     1969 |      8 |  0.000000E+00 |  0.000000E+00 |  0.3427289843 |         ideal
    12 |     2148 |      6 |  0.000000E+00 |  0.000000E+00 |  0.6862989974 |         ideal
    13 |     2327 |     11 |  0.000000E+00 |  0.000000E+00 |  0.3084516146 |         ideal
    14 |     2506 |     11 |  0.000000E+00 |  0.000000E+00 |  0.1513638096 |         ideal
    15 |     2685 |     11 |  0.000000E+00 |  0.000000E+00 |  0.0958223505 |         ideal
    16 |     2864 |     12 |  0.000000E+00 |  0.000000E+00 |  0.2110575012 |         ideal
    17 |     3043 |      1 |  0.000000E+00 |  0.000000E+00 |  0.1241814381 |         ideal
    18 |     3222 |      2 |  0.000000E+00 |  0.000000E+00 |  1.0000000000 |         ideal
    19 |     3401 |      3 |  0.000000E+00 |  0.000000E+00 |  0.6848699300 |         ideal
    20 |     3580 |      5 |  0.000000E+00 |  0.000000E+00 |  0.6484909495 |         ideal
    21 |     3759 |      6 |  0.000000E+00 |  0.000000E+00 |  0.3473730305 |         ideal
    22 |     3938 |     11 |  0.000000E+00 |  0.000000E+00 |  0.2270873259 |         ideal
    23 |     4117 |      9 |  0.000000E+00 |  0.000000E+00 |  0.1220338610 |         ideal
    24 |     4296 |     10 |  0.000000E+00 |  0.000000E+00 |  0.2236666992 |         ideal
    25 |     4475 |      9 |  0.000000E+00 |  0.000000E+00 |  0.0755226913 |         ideal
    26 |     4654 |      9 |  0.000000E+00 |  0.000000E+00 |  0.1181792497 |         ideal
    27 |     4833 |     15 |  0.000000E+00 |  0.000000E+00 |  0.2236286717 |         ideal
    28 |     5012 |     13 |  0.000000E+00 |  0.000000E+00 |  0.4847155793 |         ideal
    29 |     5191 |     14 |  0.000000E+00 |  0.000000E+00 |  0.0975590641 |         ideal
    30 |     5370 |     14 |  0.000000E+00 |  0.000000E+00 |  0.4295968080 |         ideal
