Objectives = ['-0.2944433179605', '0.0459578409720', '0.0045374299687', '0.0530319076237', '0.0637513522701', '0.1021289116742', '0.0107038953682', '0.0169701660616', '0.0499198734041', '0.0246795419932', '0.3139466780781', '0.2509081721749']
The time of execution of above program is : 258080.90496063232 ms
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      179 |     10 |  0.000000E+00 |  0.000000E+00 |             - |             -
     2 |      370 |      5 |  0.000000E+00 |  0.000000E+00 |  0.9297225252 |         ideal
     3 |      561 |      4 |  0.000000E+00 |  0.000000E+00 |  0.6386219335 |         ideal
     4 |      752 |      3 |  0.000000E+00 |  0.000000E+00 |  2.7511434722 |         ideal
     5 |      943 |      4 |  0.000000E+00 |  0.000000E+00 |  0.5211082588 |         ideal
     6 |     1134 |     10 |  0.000000E+00 |  0.000000E+00 |  0.5269722010 |         ideal
     7 |     1325 |      5 |  0.000000E+00 |  0.000000E+00 |  0.7674135536 |         ideal
     8 |     1516 |      9 |  0.000000E+00 |  0.000000E+00 |  0.3839368793 |         ideal
     9 |     1707 |     10 |  0.000000E+00 |  0.000000E+00 |  0.1902795565 |         ideal
    10 |     1898 |     12 |  0.000000E+00 |  0.000000E+00 |  0.1457209107 |         ideal
    11 |     2089 |     13 |  0.000000E+00 |  0.000000E+00 |  0.4713985644 |         ideal
    12 |     2280 |     12 |  0.000000E+00 |  0.000000E+00 |  0.3683974962 |         ideal
    13 |     2471 |     15 |  0.000000E+00 |  0.000000E+00 |  0.2330990272 |         ideal
    14 |     2662 |     13 |  0.000000E+00 |  0.000000E+00 |  0.6478262831 |         ideal
    15 |     2853 |     14 |  0.000000E+00 |  0.000000E+00 |  0.3306599199 |         ideal
    16 |     3044 |     12 |  0.000000E+00 |  0.000000E+00 |  0.4087238762 |         ideal
    17 |     3235 |     14 |  0.000000E+00 |  0.000000E+00 |  0.5424421428 |         ideal
    18 |     3426 |     11 |  0.000000E+00 |  0.000000E+00 |  0.3693895818 |         ideal
    19 |     3617 |      8 |  0.000000E+00 |  0.000000E+00 |  0.3321740660 |         ideal
    20 |     3808 |     16 |  0.000000E+00 |  0.000000E+00 |  0.2565580822 |         ideal
    21 |     3999 |      8 |  0.000000E+00 |  0.000000E+00 |  0.3744886821 |         ideal
    22 |     4190 |      8 |  0.000000E+00 |  0.000000E+00 |  0.5690742783 |         ideal
    23 |     4381 |      8 |  0.000000E+00 |  0.000000E+00 |  0.2965800660 |         ideal
    24 |     4572 |     14 |  0.000000E+00 |  0.000000E+00 |  0.2423922016 |         ideal
    25 |     4763 |     14 |  0.000000E+00 |  0.000000E+00 |  0.3568044531 |         ideal
    26 |     4954 |     15 |  0.000000E+00 |  0.000000E+00 |  0.4252361160 |         ideal
    27 |     5145 |     24 |  0.000000E+00 |  0.000000E+00 |  0.1162440334 |         ideal
    28 |     5336 |     25 |  0.000000E+00 |  0.000000E+00 |  0.0655137857 |         ideal
    29 |     5527 |     27 |  0.000000E+00 |  0.000000E+00 |  0.1600789797 |         ideal
    30 |     5718 |     33 |  0.000000E+00 |  0.000000E+00 |  0.2747563404 |         ideal
    31 |     5909 |     32 |  0.000000E+00 |  0.000000E+00 |  0.3599400457 |         ideal
    32 |     6100 |     40 |  0.000000E+00 |  0.000000E+00 |  0.0651796423 |         ideal
    33 |     6291 |     38 |  0.000000E+00 |  0.000000E+00 |  1.3573240262 |         ideal
    34 |     6482 |     40 |  0.000000E+00 |  0.000000E+00 |  0.1333467154 |         ideal
    35 |     6673 |     47 |  0.000000E+00 |  0.000000E+00 |  0.1425958858 |         ideal
    36 |     6864 |     42 |  0.000000E+00 |  0.000000E+00 |  0.2529847597 |         ideal
    37 |     7055 |     41 |  0.000000E+00 |  0.000000E+00 |  0.6284686702 |         ideal
    38 |     7246 |     40 |  0.000000E+00 |  0.000000E+00 |  0.6503537435 |         ideal
    39 |     7437 |     44 |  0.000000E+00 |  0.000000E+00 |  0.0475248297 |         ideal
    40 |     7628 |     47 |  0.000000E+00 |  0.000000E+00 |  0.0266828883 |         ideal
    41 |     7819 |     48 |  0.000000E+00 |  0.000000E+00 |  0.0049455765 |         ideal
    42 |     8010 |     41 |  0.000000E+00 |  0.000000E+00 |  1.2425798845 |         ideal
    43 |     8201 |     45 |  0.000000E+00 |  0.000000E+00 |  0.5540850041 |         ideal
    44 |     8392 |     44 |  0.000000E+00 |  0.000000E+00 |  0.0266243158 |         ideal
    45 |     8583 |     49 |  0.000000E+00 |  0.000000E+00 |  0.1746531360 |         ideal
    46 |     8774 |     42 |  0.000000E+00 |  0.000000E+00 |  0.0382016420 |         ideal
    47 |     8965 |     47 |  0.000000E+00 |  0.000000E+00 |  0.4371778995 |         ideal
    48 |     9156 |     47 |  0.000000E+00 |  0.000000E+00 |  0.0226224062 |         ideal
    49 |     9347 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0057287723 |         ideal
    50 |     9538 |     51 |  0.000000E+00 |  0.000000E+00 |  0.0145904623 |         ideal
    51 |     9729 |     45 |  0.000000E+00 |  0.000000E+00 |  0.0759911824 |         ideal
    52 |     9920 |     47 |  0.000000E+00 |  0.000000E+00 |  0.3625973792 |         ideal
    53 |    10111 |     49 |  0.000000E+00 |  0.000000E+00 |  0.0173794375 |         ideal
    54 |    10302 |     51 |  0.000000E+00 |  0.000000E+00 |  0.1544925053 |         ideal
    55 |    10493 |     54 |  0.000000E+00 |  0.000000E+00 |  0.2626281190 |         ideal
    56 |    10684 |     58 |  0.000000E+00 |  0.000000E+00 |  0.1789519058 |         ideal
    57 |    10875 |     54 |  0.000000E+00 |  0.000000E+00 |  0.0091113158 |         ideal
    58 |    11066 |     62 |  0.000000E+00 |  0.000000E+00 |  0.0634548817 |         ideal
    59 |    11257 |     61 |  0.000000E+00 |  0.000000E+00 |  0.0197696230 |         ideal
    60 |    11448 |     61 |  0.000000E+00 |  0.000000E+00 |  0.0197438486 |         ideal
    61 |    11639 |     62 |  0.000000E+00 |  0.000000E+00 |  0.0731220577 |         ideal
    62 |    11830 |     62 |  0.000000E+00 |  0.000000E+00 |  0.2842809736 |         ideal
    63 |    12021 |     64 |  0.000000E+00 |  0.000000E+00 |  0.1660808073 |         ideal
    64 |    12212 |     68 |  0.000000E+00 |  0.000000E+00 |  0.0631585858 |         ideal
    65 |    12403 |     78 |  0.000000E+00 |  0.000000E+00 |  0.0699355425 |         ideal
    66 |    12594 |     74 |  0.000000E+00 |  0.000000E+00 |  0.0609514322 |         ideal
    67 |    12785 |     57 |  0.000000E+00 |  0.000000E+00 |  0.0069674444 |         ideal
    68 |    12976 |     68 |  0.000000E+00 |  0.000000E+00 |  0.0978543700 |         ideal
    69 |    13167 |     69 |  0.000000E+00 |  0.000000E+00 |  0.3361479907 |         ideal
    70 |    13358 |     64 |  0.000000E+00 |  0.000000E+00 |  0.0042448751 |         ideal
    71 |    13549 |     75 |  0.000000E+00 |  0.000000E+00 |  0.2280916304 |         ideal
    72 |    13740 |     80 |  0.000000E+00 |  0.000000E+00 |  0.0100201786 |         ideal
    73 |    13931 |     82 |  0.000000E+00 |  0.000000E+00 |  0.0057355008 |         ideal
    74 |    14122 |     82 |  0.000000E+00 |  0.000000E+00 |  0.0157051125 |         ideal
    75 |    14313 |     77 |  0.000000E+00 |  0.000000E+00 |  0.0075029000 |         ideal
    76 |    14504 |     78 |  0.000000E+00 |  0.000000E+00 |  0.0666555680 |         ideal
    77 |    14695 |     77 |  0.000000E+00 |  0.000000E+00 |  0.0161377667 |         ideal
    78 |    14886 |     82 |  0.000000E+00 |  0.000000E+00 |  0.0035966100 |         ideal
    79 |    15077 |     83 |  0.000000E+00 |  0.000000E+00 |  0.0101879169 |         ideal
    80 |    15268 |     78 |  0.000000E+00 |  0.000000E+00 |  0.0064534357 |         ideal
    81 |    15459 |     79 |  0.000000E+00 |  0.000000E+00 |  0.0110449474 |         ideal
    82 |    15650 |     74 |  0.000000E+00 |  0.000000E+00 |  0.0069022328 |         ideal
    83 |    15841 |     80 |  0.000000E+00 |  0.000000E+00 |  0.0535317389 |         ideal
    84 |    16032 |     80 |  0.000000E+00 |  0.000000E+00 |  0.0148465398 |         ideal
    85 |    16223 |     79 |  0.000000E+00 |  0.000000E+00 |  0.0150702813 |         ideal
    86 |    16414 |     80 |  0.000000E+00 |  0.000000E+00 |  0.0562310655 |         ideal
    87 |    16605 |     86 |  0.000000E+00 |  0.000000E+00 |  0.0031674844 |         ideal
    88 |    16796 |     79 |  0.000000E+00 |  0.000000E+00 |  0.0402526733 |         ideal
    89 |    16987 |     81 |  0.000000E+00 |  0.000000E+00 |  0.0061109513 |         ideal
    90 |    17178 |     75 |  0.000000E+00 |  0.000000E+00 |  0.3426311436 |         ideal
    91 |    17369 |     77 |  0.000000E+00 |  0.000000E+00 |  0.2796118881 |         ideal
    92 |    17560 |     81 |  0.000000E+00 |  0.000000E+00 |  0.0041052404 |         ideal
    93 |    17751 |     81 |  0.000000E+00 |  0.000000E+00 |  0.4003195096 |         ideal
    94 |    17942 |     88 |  0.000000E+00 |  0.000000E+00 |  0.2616715451 |         ideal
    95 |    18133 |     91 |  0.000000E+00 |  0.000000E+00 |  0.0174517958 |         ideal
    96 |    18324 |     85 |  0.000000E+00 |  0.000000E+00 |  0.0431891165 |         ideal
    97 |    18515 |     94 |  0.000000E+00 |  0.000000E+00 |  0.2398331704 |         ideal
    98 |    18706 |     87 |  0.000000E+00 |  0.000000E+00 |  0.1683335738 |         ideal
    99 |    18897 |     83 |  0.000000E+00 |  0.000000E+00 |  0.0351429545 |         ideal
   100 |    19088 |     90 |  0.000000E+00 |  0.000000E+00 |  0.1908390097 |         ideal
   101 |    19279 |     89 |  0.000000E+00 |  0.000000E+00 |  0.2190665730 |         ideal
   102 |    19470 |     92 |  0.000000E+00 |  0.000000E+00 |  0.0847164199 |         ideal
   103 |    19661 |     87 |  0.000000E+00 |  0.000000E+00 |  0.0781000622 |         ideal
   104 |    19852 |     86 |  0.000000E+00 |  0.000000E+00 |  0.0307637937 |         ideal
   105 |    20043 |     92 |  0.000000E+00 |  0.000000E+00 |  0.3539603929 |         ideal
   106 |    20234 |     85 |  0.000000E+00 |  0.000000E+00 |  0.1663982026 |         ideal
   107 |    20425 |     89 |  0.000000E+00 |  0.000000E+00 |  0.3686052340 |         nadir
   108 |    20616 |     91 |  0.000000E+00 |  0.000000E+00 |  0.1146100110 |         ideal
   109 |    20807 |     90 |  0.000000E+00 |  0.000000E+00 |  0.1281784962 |         ideal
   110 |    20998 |     95 |  0.000000E+00 |  0.000000E+00 |  0.0980404186 |         ideal
   111 |    21189 |     99 |  0.000000E+00 |  0.000000E+00 |  0.1943616178 |         ideal
   112 |    21380 |     94 |  0.000000E+00 |  0.000000E+00 |  0.0064559513 |         ideal
   113 |    21571 |    103 |  0.000000E+00 |  0.000000E+00 |  0.0675237062 |         nadir
   114 |    21762 |    106 |  0.000000E+00 |  0.000000E+00 |  0.3324586513 |         ideal
   115 |    21953 |    103 |  0.000000E+00 |  0.000000E+00 |  0.2495076684 |         ideal
   116 |    22144 |    103 |  0.000000E+00 |  0.000000E+00 |  0.3324586513 |         ideal
   117 |    22335 |    107 |  0.000000E+00 |  0.000000E+00 |  0.0700795805 |         ideal
   118 |    22526 |    102 |  0.000000E+00 |  0.000000E+00 |  0.0352439476 |         ideal
   119 |    22717 |    109 |  0.000000E+00 |  0.000000E+00 |  0.1243077609 |         ideal
   120 |    22908 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0025609297 |         ideal
   121 |    23099 |    109 |  0.000000E+00 |  0.000000E+00 |  0.0945609882 |         ideal
   122 |    23290 |    108 |  0.000000E+00 |  0.000000E+00 |  0.0036755968 |         ideal
   123 |    23481 |    110 |  0.000000E+00 |  0.000000E+00 |  0.0032539157 |         ideal
   124 |    23672 |    116 |  0.000000E+00 |  0.000000E+00 |  0.0032645382 |         ideal
   125 |    23863 |    111 |  0.000000E+00 |  0.000000E+00 |  0.0172764558 |         ideal
   126 |    24054 |    108 |  0.000000E+00 |  0.000000E+00 |  0.1960539048 |         ideal
   127 |    24245 |    113 |  0.000000E+00 |  0.000000E+00 |  0.1639172816 |         ideal
   128 |    24436 |    112 |  0.000000E+00 |  0.000000E+00 |  0.0056840470 |         ideal
   129 |    24627 |    110 |  0.000000E+00 |  0.000000E+00 |  0.2127241370 |         ideal
   130 |    24818 |    112 |  0.000000E+00 |  0.000000E+00 |  0.1754101618 |         ideal
   131 |    25009 |    110 |  0.000000E+00 |  0.000000E+00 |  0.0054185716 |         ideal
   132 |    25200 |    114 |  0.000000E+00 |  0.000000E+00 |  0.0784750282 |         ideal
   133 |    25391 |    108 |  0.000000E+00 |  0.000000E+00 |  0.0824339064 |         ideal
   134 |    25582 |     94 |  0.000000E+00 |  0.000000E+00 |  0.0035046801 |         ideal
   135 |    25773 |     78 |  0.000000E+00 |  0.000000E+00 |  0.0439310914 |         ideal
   136 |    25964 |     85 |  0.000000E+00 |  0.000000E+00 |  0.0028215433 |         ideal
