Objectives = ['-0.0939757212972', '0.0035298721019', '0.0049112759097', '0.0102933548279', '0.0135288131220', '0.0120119417972', '0.1155400791984', '0.1152613963951', '0.2374180356725', '0.1215457513443', '0.1190728433670', '0.1241558620788']
The time of execution of above program is : 229473.01578521729 ms
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      179 |      6 |  0.000000E+00 |  0.000000E+00 |             - |             -
     2 |      370 |      6 |  0.000000E+00 |  0.000000E+00 |  0.9385211523 |         ideal
     3 |      561 |      5 |  0.000000E+00 |  0.000000E+00 |  0.6272437264 |         ideal
     4 |      752 |      7 |  0.000000E+00 |  0.000000E+00 |  0.7661253402 |         ideal
     5 |      943 |      5 |  0.000000E+00 |  0.000000E+00 |  0.3969889818 |         ideal
     6 |     1134 |      7 |  0.000000E+00 |  0.000000E+00 |  0.0940294820 |         ideal
     7 |     1325 |      6 |  0.000000E+00 |  0.000000E+00 |  0.5997496767 |         ideal
     8 |     1516 |      8 |  0.000000E+00 |  0.000000E+00 |  0.4119869618 |         ideal
     9 |     1707 |     11 |  0.000000E+00 |  0.000000E+00 |  0.3829469291 |         ideal
    10 |     1898 |      7 |  0.000000E+00 |  0.000000E+00 |  0.2532126841 |         ideal
    11 |     2089 |      6 |  0.000000E+00 |  0.000000E+00 |  0.7249818664 |         ideal
    12 |     2280 |     10 |  0.000000E+00 |  0.000000E+00 |  0.4390623895 |         ideal
    13 |     2471 |     15 |  0.000000E+00 |  0.000000E+00 |  0.2903356728 |         ideal
    14 |     2662 |      9 |  0.000000E+00 |  0.000000E+00 |  0.4701159370 |         ideal
    15 |     2853 |     11 |  0.000000E+00 |  0.000000E+00 |  0.3945214185 |         ideal
    16 |     3044 |     13 |  0.000000E+00 |  0.000000E+00 |  0.2301771633 |         ideal
    17 |     3235 |     14 |  0.000000E+00 |  0.000000E+00 |  0.2194272527 |         ideal
    18 |     3426 |     15 |  0.000000E+00 |  0.000000E+00 |  0.3678905856 |         ideal
    19 |     3617 |     22 |  0.000000E+00 |  0.000000E+00 |  0.3397431956 |         ideal
    20 |     3808 |     21 |  0.000000E+00 |  0.000000E+00 |  0.5145622027 |         ideal
    21 |     3999 |     34 |  0.000000E+00 |  0.000000E+00 |  0.1632533464 |         ideal
    22 |     4190 |     37 |  0.000000E+00 |  0.000000E+00 |  0.0488375246 |         ideal
    23 |     4381 |     34 |  0.000000E+00 |  0.000000E+00 |  0.1334775507 |         ideal
    24 |     4572 |     38 |  0.000000E+00 |  0.000000E+00 |  0.0671051973 |         ideal
    25 |     4763 |     34 |  0.000000E+00 |  0.000000E+00 |  0.1116063187 |         ideal
    26 |     4954 |     39 |  0.000000E+00 |  0.000000E+00 |  0.1887671094 |         ideal
    27 |     5145 |     38 |  0.000000E+00 |  0.000000E+00 |  0.0369619979 |         ideal
    28 |     5336 |     40 |  0.000000E+00 |  0.000000E+00 |  0.0357256300 |         ideal
    29 |     5527 |     48 |  0.000000E+00 |  0.000000E+00 |  0.0181172086 |         ideal
    30 |     5718 |     43 |  0.000000E+00 |  0.000000E+00 |  0.0778819769 |         ideal
    31 |     5909 |     52 |  0.000000E+00 |  0.000000E+00 |  0.0679393639 |         ideal
