Objectives = ['-0.2639304944570', '0.2809160303436', '0.1065578502494', '0.0504417132588', '0.2255233519786', '0.2653864592913', '0.2698118602113', '0.1361278629495', '0.6465753810659', '0.1725093398133', '0.1251273730561', '0.1108365307549']
The time of execution of above program is : 302726.90200805664 ms
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      179 |      8 |  0.000000E+00 |  0.000000E+00 |             - |             -
     2 |      358 |     16 |  0.000000E+00 |  0.000000E+00 |  0.5349205785 |         ideal
     3 |      537 |     19 |  0.000000E+00 |  0.000000E+00 |  0.1814824620 |         ideal
     4 |      716 |     17 |  0.000000E+00 |  0.000000E+00 |  0.5574024229 |         ideal
     5 |      895 |     22 |  0.000000E+00 |  0.000000E+00 |  0.2982984640 |         ideal
     6 |     1074 |     20 |  0.000000E+00 |  0.000000E+00 |  0.3389456694 |         ideal
     7 |     1253 |     23 |  0.000000E+00 |  0.000000E+00 |  0.2201799803 |         ideal
     8 |     1432 |     29 |  0.000000E+00 |  0.000000E+00 |  0.2314927628 |         ideal
     9 |     1611 |     26 |  0.000000E+00 |  0.000000E+00 |  0.2834562122 |         ideal
    10 |     1790 |     24 |  0.000000E+00 |  0.000000E+00 |  0.2993196314 |         ideal
    11 |     1969 |     23 |  0.000000E+00 |  0.000000E+00 |  0.1446483836 |         ideal
    12 |     2148 |     22 |  0.000000E+00 |  0.000000E+00 |  0.1972031749 |         ideal
    13 |     2327 |     22 |  0.000000E+00 |  0.000000E+00 |  0.2043853157 |         ideal
    14 |     2506 |     22 |  0.000000E+00 |  0.000000E+00 |  0.0692897359 |         ideal
    15 |     2685 |     24 |  0.000000E+00 |  0.000000E+00 |  0.0590576714 |         ideal
    16 |     2864 |     23 |  0.000000E+00 |  0.000000E+00 |  0.0754943643 |         ideal
    17 |     3043 |     27 |  0.000000E+00 |  0.000000E+00 |  0.0254196120 |         ideal
    18 |     3222 |     32 |  0.000000E+00 |  0.000000E+00 |  0.2405886756 |         ideal
    19 |     3401 |     31 |  0.000000E+00 |  0.000000E+00 |  0.2571254369 |         ideal
    20 |     3580 |     33 |  0.000000E+00 |  0.000000E+00 |  0.1265385206 |         ideal
    21 |     3759 |     32 |  0.000000E+00 |  0.000000E+00 |  0.1098656743 |         ideal
    22 |     3938 |     29 |  0.000000E+00 |  0.000000E+00 |  0.1408127532 |         ideal
    23 |     4117 |     31 |  0.000000E+00 |  0.000000E+00 |  0.1267353730 |         ideal
    24 |     4296 |     29 |  0.000000E+00 |  0.000000E+00 |  0.2162417513 |         ideal
    25 |     4475 |     30 |  0.000000E+00 |  0.000000E+00 |  0.4537402199 |         ideal
    26 |     4654 |     33 |  0.000000E+00 |  0.000000E+00 |  0.3115312647 |         ideal
    27 |     4833 |     17 |  0.000000E+00 |  0.000000E+00 |  0.7372344657 |         ideal
    28 |     5012 |     17 |  0.000000E+00 |  0.000000E+00 |  0.2835421949 |         ideal
    29 |     5191 |     29 |  0.000000E+00 |  0.000000E+00 |  0.2038063816 |         ideal
    30 |     5370 |     35 |  0.000000E+00 |  0.000000E+00 |  0.1295455090 |         ideal
    31 |     5549 |     21 |  0.000000E+00 |  0.000000E+00 |  0.2474965703 |         ideal
