Objectives = ['-0.2961896649588', '0.2949372627286', '0.1435315679333', '0.0409716230572', '0.2887679830440', '0.3567481619632', '0.3680372956731', '0.1480563760460', '0.2057638865460', '0.2550889990014', '0.1705732899317', '0.0958814924476']
The time of execution of above program is : 312849.53808784485 ms
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      179 |     12 |  0.000000E+00 |  0.000000E+00 |             - |             -
     2 |      358 |     17 |  0.000000E+00 |  0.000000E+00 |  0.2468213994 |         ideal
     3 |      537 |     19 |  0.000000E+00 |  0.000000E+00 |  0.2980483440 |         ideal
     4 |      716 |     21 |  0.000000E+00 |  0.000000E+00 |  0.2296126684 |         ideal
     5 |      895 |     20 |  0.000000E+00 |  0.000000E+00 |  0.2223635252 |         ideal
     6 |     1074 |     31 |  0.000000E+00 |  0.000000E+00 |  0.1642931116 |         ideal
     7 |     1253 |     27 |  0.000000E+00 |  0.000000E+00 |  0.3035021610 |         ideal
     8 |     1432 |     31 |  0.000000E+00 |  0.000000E+00 |  0.2006599378 |         ideal
     9 |     1611 |     27 |  0.000000E+00 |  0.000000E+00 |  0.3805021046 |         ideal
    10 |     1790 |     25 |  0.000000E+00 |  0.000000E+00 |  0.2799438916 |         ideal
    11 |     1969 |     28 |  0.000000E+00 |  0.000000E+00 |  0.1949570660 |         ideal
    12 |     2148 |     38 |  0.000000E+00 |  0.000000E+00 |  0.1328075661 |         ideal
    13 |     2327 |     35 |  0.000000E+00 |  0.000000E+00 |  0.2106783763 |         ideal
    14 |     2506 |     35 |  0.000000E+00 |  0.000000E+00 |  0.1894402513 |         ideal
    15 |     2685 |     36 |  0.000000E+00 |  0.000000E+00 |  0.1112890942 |         ideal
    16 |     2864 |     31 |  0.000000E+00 |  0.000000E+00 |  0.0918616096 |         ideal
    17 |     3043 |     32 |  0.000000E+00 |  0.000000E+00 |  0.1339674299 |         ideal
    18 |     3222 |     35 |  0.000000E+00 |  0.000000E+00 |  0.1832216365 |         ideal
    19 |     3401 |     35 |  0.000000E+00 |  0.000000E+00 |  0.2433730964 |         ideal
    20 |     3580 |     16 |  0.000000E+00 |  0.000000E+00 |  0.1938152582 |         ideal
    21 |     3759 |     19 |  0.000000E+00 |  0.000000E+00 |  0.1396609749 |         ideal
    22 |     3938 |     25 |  0.000000E+00 |  0.000000E+00 |  0.1231343797 |         ideal
    23 |     4117 |     19 |  0.000000E+00 |  0.000000E+00 |  0.1286718171 |         ideal
    24 |     4296 |     25 |  0.000000E+00 |  0.000000E+00 |  0.2739604888 |         ideal
    25 |     4475 |     28 |  0.000000E+00 |  0.000000E+00 |  0.0667134048 |         ideal
    26 |     4654 |     27 |  0.000000E+00 |  0.000000E+00 |  0.0205671187 |         nadir
    27 |     4833 |     23 |  0.000000E+00 |  0.000000E+00 |  0.2963094689 |         ideal
    28 |     5012 |     22 |  0.000000E+00 |  0.000000E+00 |  0.0594764796 |         ideal
    29 |     5191 |     25 |  0.000000E+00 |  0.000000E+00 |  0.0268832267 |         ideal
    30 |     5370 |     26 |  0.000000E+00 |  0.000000E+00 |  0.0635296489 |         ideal
    31 |     5549 |     29 |  0.000000E+00 |  0.000000E+00 |  0.0678394663 |         ideal
    32 |     5728 |     30 |  0.000000E+00 |  0.000000E+00 |  0.1475182825 |         ideal
    33 |     5907 |     35 |  0.000000E+00 |  0.000000E+00 |  0.0540665391 |         ideal
    34 |     6086 |     35 |  0.000000E+00 |  0.000000E+00 |  0.0866559355 |         ideal
    35 |     6265 |     33 |  0.000000E+00 |  0.000000E+00 |  0.0605821539 |         ideal
    36 |     6444 |     32 |  0.000000E+00 |  0.000000E+00 |  0.4270287816 |         ideal
    37 |     6623 |     31 |  0.000000E+00 |  0.000000E+00 |  0.2163852169 |         ideal
    38 |     6802 |     17 |  0.000000E+00 |  0.000000E+00 |  0.2718777547 |         ideal
    39 |     6981 |     18 |  0.000000E+00 |  0.000000E+00 |  0.0591346686 |             f
    40 |     7160 |     19 |  0.000000E+00 |  0.000000E+00 |  0.0608326649 |         ideal
    41 |     7339 |     22 |  0.000000E+00 |  0.000000E+00 |  0.1331445356 |         ideal
    42 |     7518 |     24 |  0.000000E+00 |  0.000000E+00 |  0.1981835852 |         ideal
    43 |     7697 |     25 |  0.000000E+00 |  0.000000E+00 |  0.1382460166 |         ideal
    44 |     7876 |     24 |  0.000000E+00 |  0.000000E+00 |  0.1710847610 |         ideal
    45 |     8055 |     25 |  0.000000E+00 |  0.000000E+00 |  0.1500985058 |         ideal
    46 |     8234 |     23 |  0.000000E+00 |  0.000000E+00 |  0.1676871337 |         ideal
    47 |     8413 |     21 |  0.000000E+00 |  0.000000E+00 |  0.0607293579 |         ideal
    48 |     8592 |     21 |  0.000000E+00 |  0.000000E+00 |  0.2673021412 |         ideal
    49 |     8771 |     24 |  0.000000E+00 |  0.000000E+00 |  0.1178603289 |         ideal
    50 |     8950 |     28 |  0.000000E+00 |  0.000000E+00 |  0.3134560330 |         ideal
    51 |     9129 |     25 |  0.000000E+00 |  0.000000E+00 |  0.2003019077 |         ideal
    52 |     9308 |     37 |  0.000000E+00 |  0.000000E+00 |  0.2064095539 |         ideal
    53 |     9487 |     33 |  0.000000E+00 |  0.000000E+00 |  0.1061839642 |         ideal
    54 |     9666 |     35 |  0.000000E+00 |  0.000000E+00 |  0.1526055584 |         ideal
    55 |     9845 |     33 |  0.000000E+00 |  0.000000E+00 |  0.1236602260 |         ideal
