Objectives = ['-0.2986513905122', '0.0607744829259', '0.1388004069701', '0.1313260980812', '0.0978536500299', '0.1038677240186', '0.1562488183392', '0.1626946107163', '0.0769342565330', '0.1060527320558', '0.0613582999829', '0.0513507987281']
The time of execution of above program is : 188956.8977355957 ms
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      179 |     13 |  0.000000E+00 |  0.000000E+00 |             - |             -
     2 |      358 |     14 |  0.000000E+00 |  0.000000E+00 |  0.6417915668 |         ideal
     3 |      537 |      5 |  0.000000E+00 |  0.000000E+00 |  0.4091242700 |         ideal
     4 |      716 |      5 |  0.000000E+00 |  0.000000E+00 |  0.000000E+00 |             f
     5 |      895 |      6 |  0.000000E+00 |  0.000000E+00 |  0.2218760278 |         ideal
     6 |     1074 |     11 |  0.000000E+00 |  0.000000E+00 |  0.1741591014 |         ideal
     7 |     1253 |     15 |  0.000000E+00 |  0.000000E+00 |  0.2775771852 |         ideal
     8 |     1432 |     14 |  0.000000E+00 |  0.000000E+00 |  0.1679618773 |         ideal
     9 |     1611 |     14 |  0.000000E+00 |  0.000000E+00 |  0.2653728687 |         ideal
    10 |     1790 |     13 |  0.000000E+00 |  0.000000E+00 |  0.2641447356 |         ideal
    11 |     1969 |      9 |  0.000000E+00 |  0.000000E+00 |  0.3930790908 |         ideal
    12 |     2148 |      4 |  0.000000E+00 |  0.000000E+00 |  0.8725310073 |         ideal
    13 |     2327 |     10 |  0.000000E+00 |  0.000000E+00 |  0.3527482279 |         ideal
    14 |     2506 |      8 |  0.000000E+00 |  0.000000E+00 |  0.2169666678 |         ideal
    15 |     2685 |     13 |  0.000000E+00 |  0.000000E+00 |  0.3602933932 |         ideal
    16 |     2864 |     16 |  0.000000E+00 |  0.000000E+00 |  0.2208473286 |         ideal
    17 |     3043 |     16 |  0.000000E+00 |  0.000000E+00 |  0.3312992696 |         ideal
    18 |     3222 |     19 |  0.000000E+00 |  0.000000E+00 |  0.1763642181 |         ideal
    19 |     3401 |     28 |  0.000000E+00 |  0.000000E+00 |  0.1596623088 |         ideal
    20 |     3580 |     22 |  0.000000E+00 |  0.000000E+00 |  0.1283729670 |         ideal
    21 |     3759 |     23 |  0.000000E+00 |  0.000000E+00 |  0.2942927527 |         ideal
    22 |     3938 |     19 |  0.000000E+00 |  0.000000E+00 |  0.2218770582 |         ideal
    23 |     4117 |     24 |  0.000000E+00 |  0.000000E+00 |  0.0674843908 |         ideal
    24 |     4296 |     22 |  0.000000E+00 |  0.000000E+00 |  0.7521073883 |         ideal
    25 |     4475 |     26 |  0.000000E+00 |  0.000000E+00 |  0.1887351743 |         ideal
    26 |     4654 |     30 |  0.000000E+00 |  0.000000E+00 |  0.3424998398 |         ideal
    27 |     4833 |     31 |  0.000000E+00 |  0.000000E+00 |  0.0698190224 |         ideal
    28 |     5012 |     21 |  0.000000E+00 |  0.000000E+00 |  0.1694795938 |         ideal
    29 |     5191 |     24 |  0.000000E+00 |  0.000000E+00 |  0.0768874110 |         ideal
    30 |     5370 |     27 |  0.000000E+00 |  0.000000E+00 |  0.1664526507 |         ideal
    31 |     5549 |     31 |  0.000000E+00 |  0.000000E+00 |  0.0458352392 |         ideal
    32 |     5728 |     29 |  0.000000E+00 |  0.000000E+00 |  0.1041271756 |         ideal
    33 |     5907 |     20 |  0.000000E+00 |  0.000000E+00 |  0.1973043644 |         ideal
    34 |     6086 |     24 |  0.000000E+00 |  0.000000E+00 |  0.1687148759 |         ideal
    35 |     6265 |     12 |  0.000000E+00 |  0.000000E+00 |  0.3032557710 |         ideal
    36 |     6444 |     15 |  0.000000E+00 |  0.000000E+00 |  0.4175097219 |         ideal
    37 |     6623 |     16 |  0.000000E+00 |  0.000000E+00 |  0.2755285535 |         ideal
    38 |     6802 |     13 |  0.000000E+00 |  0.000000E+00 |  0.2672660262 |         ideal
    39 |     6981 |     16 |  0.000000E+00 |  0.000000E+00 |  0.2108997012 |         ideal
    40 |     7160 |     16 |  0.000000E+00 |  0.000000E+00 |  0.0906424411 |         ideal
    41 |     7339 |     22 |  0.000000E+00 |  0.000000E+00 |  0.0443643045 |         ideal
    42 |     7518 |     25 |  0.000000E+00 |  0.000000E+00 |  0.0909364189 |         ideal
    43 |     7697 |     15 |  0.000000E+00 |  0.000000E+00 |  0.0756902656 |         ideal
    44 |     7876 |     18 |  0.000000E+00 |  0.000000E+00 |  0.0284640133 |         ideal
    45 |     8055 |     23 |  0.000000E+00 |  0.000000E+00 |  0.0763942664 |         ideal
    46 |     8234 |     28 |  0.000000E+00 |  0.000000E+00 |  0.1857784463 |         ideal
    47 |     8413 |     32 |  0.000000E+00 |  0.000000E+00 |  0.0522102846 |         ideal
    48 |     8592 |     27 |  0.000000E+00 |  0.000000E+00 |  0.1200245088 |         ideal
    49 |     8771 |     43 |  0.000000E+00 |  0.000000E+00 |  0.1187539808 |         ideal
    50 |     8950 |     40 |  0.000000E+00 |  0.000000E+00 |  0.0324902886 |         ideal
    51 |     9129 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0716046638 |         ideal
    52 |     9308 |     49 |  0.000000E+00 |  0.000000E+00 |  0.0668200375 |         ideal
