Objectives = ['-0.4020781496935', '0.0371725122702', '0.0055271602592', '0.0112354819829', '0.0230157812554', '0.1159118045261', '0.0883025720602', '0.1592893668917', '0.0078868038723', '0.0172141645701', '0.0405730538348', '1.2985565892314']
The time of execution of above program is : 173713.47308158875 ms
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      179 |     11 |  0.000000E+00 |  0.000000E+00 |             - |             -
     2 |      358 |      5 |  0.000000E+00 |  0.000000E+00 |  0.7004481287 |         ideal
     3 |      537 |     12 |  0.000000E+00 |  0.000000E+00 |  0.3198520759 |         ideal
     4 |      716 |     15 |  0.000000E+00 |  0.000000E+00 |  0.2788305054 |         ideal
     5 |      895 |     19 |  0.000000E+00 |  0.000000E+00 |  0.2682355343 |         ideal
     6 |     1074 |     10 |  0.000000E+00 |  0.000000E+00 |  0.2440644850 |         ideal
     7 |     1253 |     13 |  0.000000E+00 |  0.000000E+00 |  0.4761480674 |         ideal
     8 |     1432 |     17 |  0.000000E+00 |  0.000000E+00 |  0.2048459299 |         ideal
     9 |     1611 |     17 |  0.000000E+00 |  0.000000E+00 |  0.0934949652 |         ideal
    10 |     1790 |     14 |  0.000000E+00 |  0.000000E+00 |  0.2496256266 |         ideal
    11 |     1969 |      8 |  0.000000E+00 |  0.000000E+00 |  0.1785834607 |         ideal
    12 |     2148 |      7 |  0.000000E+00 |  0.000000E+00 |  0.8509774775 |         ideal
    13 |     2327 |     14 |  0.000000E+00 |  0.000000E+00 |  0.4247505540 |         ideal
    14 |     2506 |     17 |  0.000000E+00 |  0.000000E+00 |  0.1358520659 |         ideal
    15 |     2685 |     11 |  0.000000E+00 |  0.000000E+00 |  0.6833729511 |         ideal
    16 |     2864 |      9 |  0.000000E+00 |  0.000000E+00 |  0.3980822186 |         ideal
    17 |     3043 |     10 |  0.000000E+00 |  0.000000E+00 |  0.1362925210 |         ideal
    18 |     3222 |      6 |  0.000000E+00 |  0.000000E+00 |  0.6301726291 |         ideal
    19 |     3401 |      5 |  0.000000E+00 |  0.000000E+00 |  0.6157978145 |         ideal
    20 |     3580 |     11 |  0.000000E+00 |  0.000000E+00 |  0.1818655142 |         ideal
    21 |     3759 |     21 |  0.000000E+00 |  0.000000E+00 |  0.1706694608 |         ideal
    22 |     3938 |     13 |  0.000000E+00 |  0.000000E+00 |  0.1693337508 |         ideal
    23 |     4117 |     11 |  0.000000E+00 |  0.000000E+00 |  0.1315694886 |         ideal
    24 |     4296 |     14 |  0.000000E+00 |  0.000000E+00 |  0.0765887793 |         ideal
    25 |     4475 |     20 |  0.000000E+00 |  0.000000E+00 |  0.0777681530 |         ideal
    26 |     4654 |     20 |  0.000000E+00 |  0.000000E+00 |  0.2011595896 |         ideal
    27 |     4833 |     20 |  0.000000E+00 |  0.000000E+00 |  0.1908845998 |         ideal
    28 |     5012 |     23 |  0.000000E+00 |  0.000000E+00 |  0.1122801601 |         ideal
    29 |     5191 |     23 |  0.000000E+00 |  0.000000E+00 |  0.1198666758 |         ideal
    30 |     5370 |     18 |  0.000000E+00 |  0.000000E+00 |  0.0228767390 |         ideal
    31 |     5549 |     13 |  0.000000E+00 |  0.000000E+00 |  0.2222144732 |         ideal
    32 |     5728 |     14 |  0.000000E+00 |  0.000000E+00 |  0.0136368941 |         ideal
    33 |     5907 |     18 |  0.000000E+00 |  0.000000E+00 |  0.0815944076 |         ideal
    34 |     6086 |     25 |  0.000000E+00 |  0.000000E+00 |  0.1392296316 |         ideal
    35 |     6265 |     24 |  0.000000E+00 |  0.000000E+00 |  0.0581165511 |         ideal
    36 |     6444 |     26 |  0.000000E+00 |  0.000000E+00 |  0.0203129126 |         ideal
    37 |     6623 |     14 |  0.000000E+00 |  0.000000E+00 |  0.0652267999 |         ideal
    38 |     6802 |     15 |  0.000000E+00 |  0.000000E+00 |  0.2570205640 |         ideal
    39 |     6981 |     20 |  0.000000E+00 |  0.000000E+00 |  0.1450853412 |         ideal
    40 |     7160 |     21 |  0.000000E+00 |  0.000000E+00 |  0.0876351241 |         ideal
    41 |     7339 |     30 |  0.000000E+00 |  0.000000E+00 |  0.0445373037 |         nadir
    42 |     7518 |     29 |  0.000000E+00 |  0.000000E+00 |  0.0891618004 |         ideal
    43 |     7697 |     32 |  0.000000E+00 |  0.000000E+00 |  0.0030304101 |         ideal
    44 |     7876 |     31 |  0.000000E+00 |  0.000000E+00 |  0.0771938675 |         ideal
    45 |     8055 |     26 |  0.000000E+00 |  0.000000E+00 |  0.1435201753 |         ideal
    46 |     8234 |     32 |  0.000000E+00 |  0.000000E+00 |  0.0599425065 |         ideal
    47 |     8413 |     31 |  0.000000E+00 |  0.000000E+00 |  0.0428053316 |         ideal
    48 |     8592 |     28 |  0.000000E+00 |  0.000000E+00 |  0.0625960813 |         ideal
    49 |     8771 |     34 |  0.000000E+00 |  0.000000E+00 |  0.0670288087 |         ideal
    50 |     8950 |     19 |  0.000000E+00 |  0.000000E+00 |  0.2128880720 |         ideal
    51 |     9129 |     16 |  0.000000E+00 |  0.000000E+00 |  0.1644314743 |         ideal
    52 |     9308 |     27 |  0.000000E+00 |  0.000000E+00 |  0.1907905630 |         ideal
    53 |     9487 |     19 |  0.000000E+00 |  0.000000E+00 |  0.4010896950 |         ideal
    54 |     9666 |     22 |  0.000000E+00 |  0.000000E+00 |  0.0913941524 |         ideal
    55 |     9845 |     31 |  0.000000E+00 |  0.000000E+00 |  0.2221282889 |         ideal
    56 |    10024 |     30 |  0.000000E+00 |  0.000000E+00 |  0.0511019242 |         ideal
    57 |    10203 |     34 |  0.000000E+00 |  0.000000E+00 |  0.0272932462 |         ideal
    58 |    10382 |     43 |  0.000000E+00 |  0.000000E+00 |  0.0731534537 |         ideal
    59 |    10561 |     33 |  0.000000E+00 |  0.000000E+00 |  0.0681668157 |         ideal
    60 |    10740 |     30 |  0.000000E+00 |  0.000000E+00 |  0.0248388679 |         ideal
    61 |    10919 |     34 |  0.000000E+00 |  0.000000E+00 |  0.0967258080 |         ideal
    62 |    11098 |     42 |  0.000000E+00 |  0.000000E+00 |  0.0333926900 |         ideal
    63 |    11277 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0153154121 |         ideal
    64 |    11456 |     39 |  0.000000E+00 |  0.000000E+00 |  0.0291376363 |         ideal
    65 |    11635 |     40 |  0.000000E+00 |  0.000000E+00 |  0.0475517685 |         ideal
    66 |    11814 |     38 |  0.000000E+00 |  0.000000E+00 |  0.0772004165 |         ideal
    67 |    11993 |     44 |  0.000000E+00 |  0.000000E+00 |  0.0202646387 |         ideal
    68 |    12172 |     42 |  0.000000E+00 |  0.000000E+00 |  0.0235732353 |         ideal
    69 |    12351 |     50 |  0.000000E+00 |  0.000000E+00 |  0.0612059699 |         ideal
    70 |    12530 |     45 |  0.000000E+00 |  0.000000E+00 |  0.2916689972 |         nadir
    71 |    12709 |     48 |  0.000000E+00 |  0.000000E+00 |  0.0037932833 |         ideal
    72 |    12888 |     55 |  0.000000E+00 |  0.000000E+00 |  0.0190163638 |         ideal
