Objectives = ['-0.1400561307172', '0.0296613687749', '0.0119432173820', '0.0154164276033', '0.0300657284948', '0.0270542377884', '0.0258176586418', '0.0220655768197', '0.0171134124604', '0.0220684837357', '0.0150860800431', '0.0425494031460']
The time of execution of above program is : 173254.02903556824 ms
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      179 |     10 |  0.000000E+00 |  4.927988E+01 |             - |             -
     2 |      358 |      5 |  0.000000E+00 |  0.000000E+00 |  0.4964587460 |         ideal
     3 |      537 |     10 |  0.000000E+00 |  0.000000E+00 |  0.3760683495 |         ideal
     4 |      716 |     14 |  0.000000E+00 |  0.000000E+00 |  0.1220339947 |         ideal
     5 |      895 |     16 |  0.000000E+00 |  0.000000E+00 |  0.1715329281 |         ideal
     6 |     1074 |      8 |  0.000000E+00 |  0.000000E+00 |  0.4051613799 |         ideal
     7 |     1253 |     10 |  0.000000E+00 |  0.000000E+00 |  0.5331568225 |         ideal
     8 |     1432 |      7 |  0.000000E+00 |  0.000000E+00 |  0.2195837074 |         ideal
     9 |     1611 |     11 |  0.000000E+00 |  0.000000E+00 |  0.2287973150 |         ideal
    10 |     1790 |      9 |  0.000000E+00 |  0.000000E+00 |  0.2068753434 |         ideal
    11 |     1969 |      7 |  0.000000E+00 |  0.000000E+00 |  0.2479377292 |         ideal
    12 |     2148 |      8 |  0.000000E+00 |  0.000000E+00 |  0.1578395121 |         ideal
    13 |     2327 |     11 |  0.000000E+00 |  0.000000E+00 |  0.2382286608 |         ideal
    14 |     2506 |     10 |  0.000000E+00 |  0.000000E+00 |  0.4992281323 |         ideal
    15 |     2685 |     13 |  0.000000E+00 |  0.000000E+00 |  0.3249079596 |         ideal
    16 |     2864 |     11 |  0.000000E+00 |  0.000000E+00 |  0.7038144020 |         ideal
    17 |     3043 |     14 |  0.000000E+00 |  0.000000E+00 |  0.2102880379 |         ideal
    18 |     3222 |     16 |  0.000000E+00 |  0.000000E+00 |  0.0639813584 |         ideal
    19 |     3401 |     14 |  0.000000E+00 |  0.000000E+00 |  0.2691958678 |         ideal
    20 |     3580 |     10 |  0.000000E+00 |  0.000000E+00 |  0.1615988109 |         ideal
    21 |     3759 |     19 |  0.000000E+00 |  0.000000E+00 |  0.2937953028 |         ideal
    22 |     3938 |     10 |  0.000000E+00 |  0.000000E+00 |  0.2206613592 |         ideal
    23 |     4117 |     13 |  0.000000E+00 |  0.000000E+00 |  0.1100734715 |         ideal
    24 |     4296 |      5 |  0.000000E+00 |  0.000000E+00 |  1.9758556978 |         ideal
    25 |     4475 |      7 |  0.000000E+00 |  0.000000E+00 |  0.5332082108 |         ideal
    26 |     4654 |     11 |  0.000000E+00 |  0.000000E+00 |  0.1679457001 |         ideal
    27 |     4833 |      7 |  0.000000E+00 |  0.000000E+00 |  0.2656699897 |         ideal
    28 |     5012 |      9 |  0.000000E+00 |  0.000000E+00 |  0.1455690602 |         ideal
    29 |     5191 |     13 |  0.000000E+00 |  0.000000E+00 |  0.2334364243 |         ideal
    30 |     5370 |     16 |  0.000000E+00 |  0.000000E+00 |  0.1858917054 |         ideal
    31 |     5549 |     16 |  0.000000E+00 |  0.000000E+00 |  0.1335066061 |         ideal
    32 |     5728 |     15 |  0.000000E+00 |  0.000000E+00 |  0.1014347564 |         ideal
