Objectives = ['-0.2250110436971', '0.0572623485976', '0.0116243546501', '0.0078570976093', '0.0762734942373', '0.0385499230459', '0.1231723635203', '0.0427990655799', '0.1487670056331', '0.0389268385375', '0.0310593358519', '0.1578288236930']
The time of execution of above program is : 169765.43998718262 ms
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      179 |     13 |  0.000000E+00 |  0.000000E+00 |             - |             -
     2 |      358 |     12 |  0.000000E+00 |  0.000000E+00 |  0.5467796785 |         ideal
     3 |      537 |     15 |  0.000000E+00 |  0.000000E+00 |  0.2874037509 |         ideal
     4 |      716 |     13 |  0.000000E+00 |  0.000000E+00 |  0.3652081516 |         ideal
     5 |      895 |     14 |  0.000000E+00 |  0.000000E+00 |  0.2338983545 |         ideal
     6 |     1074 |      8 |  0.000000E+00 |  0.000000E+00 |  0.0598773082 |         ideal
     7 |     1253 |     10 |  0.000000E+00 |  0.000000E+00 |  0.1506013941 |         ideal
     8 |     1432 |     15 |  0.000000E+00 |  0.000000E+00 |  0.2103311552 |         ideal
     9 |     1611 |     16 |  0.000000E+00 |  0.000000E+00 |  0.1546017582 |         ideal
    10 |     1790 |     12 |  0.000000E+00 |  0.000000E+00 |  0.2206584058 |         ideal
    11 |     1969 |     10 |  0.000000E+00 |  0.000000E+00 |  0.5778278303 |         ideal
    12 |     2148 |     12 |  0.000000E+00 |  0.000000E+00 |  0.1721007552 |         ideal
    13 |     2327 |     11 |  0.000000E+00 |  0.000000E+00 |  0.1951430992 |         ideal
    14 |     2506 |      8 |  0.000000E+00 |  0.000000E+00 |  0.2660401077 |         ideal
    15 |     2685 |     10 |  0.000000E+00 |  0.000000E+00 |  0.2966841284 |         ideal
    16 |     2864 |     15 |  0.000000E+00 |  0.000000E+00 |  0.1255055876 |         ideal
    17 |     3043 |     12 |  0.000000E+00 |  0.000000E+00 |  0.2126120883 |         ideal
    18 |     3222 |     13 |  0.000000E+00 |  0.000000E+00 |  0.0293092652 |         ideal
    19 |     3401 |     14 |  0.000000E+00 |  0.000000E+00 |  0.1473989500 |         ideal
    20 |     3580 |     20 |  0.000000E+00 |  0.000000E+00 |  0.0496494039 |         ideal
    21 |     3759 |     14 |  0.000000E+00 |  0.000000E+00 |  0.1663504574 |         ideal
    22 |     3938 |     17 |  0.000000E+00 |  0.000000E+00 |  0.0688508199 |         ideal
    23 |     4117 |     15 |  0.000000E+00 |  0.000000E+00 |  0.2899564376 |         ideal
    24 |     4296 |     18 |  0.000000E+00 |  0.000000E+00 |  0.1225124311 |         ideal
    25 |     4475 |     15 |  0.000000E+00 |  0.000000E+00 |  0.1266989468 |         ideal
    26 |     4654 |     18 |  0.000000E+00 |  0.000000E+00 |  0.1418525806 |         ideal
    27 |     4833 |     19 |  0.000000E+00 |  0.000000E+00 |  0.1406162524 |         ideal
    28 |     5012 |     21 |  0.000000E+00 |  0.000000E+00 |  0.1731148435 |         ideal
    29 |     5191 |     23 |  0.000000E+00 |  0.000000E+00 |  0.1061087166 |         ideal
    30 |     5370 |     23 |  0.000000E+00 |  0.000000E+00 |  0.2326586222 |         ideal
    31 |     5549 |     28 |  0.000000E+00 |  0.000000E+00 |  0.0835405783 |         ideal
    32 |     5728 |     33 |  0.000000E+00 |  0.000000E+00 |  0.0655815865 |         ideal
    33 |     5907 |     33 |  0.000000E+00 |  0.000000E+00 |  0.1709709292 |         ideal
    34 |     6086 |     43 |  0.000000E+00 |  0.000000E+00 |  0.0583985616 |         ideal
    35 |     6265 |     41 |  0.000000E+00 |  0.000000E+00 |  0.0398638167 |         ideal
    36 |     6444 |     39 |  0.000000E+00 |  0.000000E+00 |  0.0458147662 |         ideal
    37 |     6623 |     28 |  0.000000E+00 |  0.000000E+00 |  0.0623706553 |         ideal
    38 |     6802 |     28 |  0.000000E+00 |  0.000000E+00 |  0.0128409072 |         ideal
    39 |     6981 |     32 |  0.000000E+00 |  0.000000E+00 |  0.0886756384 |         ideal
    40 |     7160 |     34 |  0.000000E+00 |  0.000000E+00 |  0.0756798839 |         ideal
    41 |     7339 |     30 |  0.000000E+00 |  0.000000E+00 |  0.1511961054 |         ideal
    42 |     7518 |     30 |  0.000000E+00 |  0.000000E+00 |  0.0506205611 |         ideal
    43 |     7697 |     30 |  0.000000E+00 |  0.000000E+00 |  0.1094252999 |         ideal
    44 |     7876 |     31 |  0.000000E+00 |  0.000000E+00 |  0.2592008650 |         ideal
    45 |     8055 |     42 |  0.000000E+00 |  0.000000E+00 |  0.0916504390 |         ideal
    46 |     8234 |     37 |  0.000000E+00 |  0.000000E+00 |  0.1383083274 |         ideal
    47 |     8413 |     41 |  0.000000E+00 |  0.000000E+00 |  0.1203239077 |         ideal
    48 |     8592 |     30 |  0.000000E+00 |  0.000000E+00 |  0.0644660432 |         ideal
    49 |     8771 |     42 |  0.000000E+00 |  0.000000E+00 |  0.0361005952 |         ideal
    50 |     8950 |     33 |  0.000000E+00 |  0.000000E+00 |  0.0247970672 |         ideal
    51 |     9129 |     38 |  0.000000E+00 |  0.000000E+00 |  0.0665772432 |         ideal
    52 |     9308 |     18 |  0.000000E+00 |  0.000000E+00 |  0.1447761839 |         ideal
