Objectives = ['-0.0976661086366', '0.0030913944798', '0.1147908973010']
The time of execution of above program is : 47361.536741256714 ms
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      179 |      4 |  0.000000E+00 |  0.000000E+00 |             - |             -
     2 |      358 |      8 |  0.000000E+00 |  0.000000E+00 |  0.9782532982 |         ideal
     3 |      537 |     14 |  0.000000E+00 |  0.000000E+00 |  0.0749779999 |         ideal
     4 |      716 |     15 |  0.000000E+00 |  0.000000E+00 |  0.0656013250 |         ideal
     5 |      895 |     21 |  0.000000E+00 |  0.000000E+00 |  0.0073849273 |         ideal
     6 |     1074 |     24 |  0.000000E+00 |  0.000000E+00 |  0.0552920810 |         ideal
     7 |     1253 |     29 |  0.000000E+00 |  0.000000E+00 |  0.0182041762 |         ideal
     8 |     1432 |     27 |  0.000000E+00 |  0.000000E+00 |  0.0442653359 |         ideal
     9 |     1611 |     40 |  0.000000E+00 |  0.000000E+00 |  0.0115222614 |         ideal
    10 |     1790 |     38 |  0.000000E+00 |  0.000000E+00 |  0.0135958468 |         ideal
    11 |     1969 |     39 |  0.000000E+00 |  0.000000E+00 |  0.0028275385 |         ideal
    12 |     2148 |     45 |  0.000000E+00 |  0.000000E+00 |  0.0055283140 |         ideal
    13 |     2327 |     52 |  0.000000E+00 |  0.000000E+00 |  0.0085972023 |         ideal
    14 |     2506 |     68 |  0.000000E+00 |  0.000000E+00 |  0.0677972395 |         nadir
    15 |     2685 |     75 |  0.000000E+00 |  0.000000E+00 |  0.0324920669 |         ideal
    16 |     2864 |     57 |  0.000000E+00 |  0.000000E+00 |  0.0506338453 |         ideal
    17 |     3043 |     61 |  0.000000E+00 |  0.000000E+00 |  0.0168009136 |         ideal
    18 |     3222 |     60 |  0.000000E+00 |  0.000000E+00 |  0.0332516561 |         nadir
    19 |     3401 |     61 |  0.000000E+00 |  0.000000E+00 |  0.0081509503 |         ideal
    20 |     3580 |     65 |  0.000000E+00 |  0.000000E+00 |  0.0351363168 |         ideal
    21 |     3759 |     58 |  0.000000E+00 |  0.000000E+00 |  0.0190359820 |         ideal
    22 |     3938 |     65 |  0.000000E+00 |  0.000000E+00 |  0.0038050991 |         ideal
    23 |     4117 |     73 |  0.000000E+00 |  0.000000E+00 |  0.0092693644 |         ideal
    24 |     4296 |     76 |  0.000000E+00 |  0.000000E+00 |  0.0104369197 |         nadir
    25 |     4475 |     77 |  0.000000E+00 |  0.000000E+00 |  0.0119783466 |         nadir
    26 |     4654 |     80 |  0.000000E+00 |  0.000000E+00 |  0.0196149158 |         nadir
    27 |     4833 |     81 |  0.000000E+00 |  0.000000E+00 |  0.0188964902 |         nadir
    28 |     5012 |     82 |  0.000000E+00 |  0.000000E+00 |  0.0118119338 |             f
    29 |     5191 |     83 |  0.000000E+00 |  0.000000E+00 |  0.0076136231 |         nadir
    30 |     5370 |     81 |  0.000000E+00 |  0.000000E+00 |  0.0075420751 |         nadir
    31 |     5549 |     81 |  0.000000E+00 |  0.000000E+00 |  0.0398933694 |         nadir
    32 |     5728 |     82 |  0.000000E+00 |  0.000000E+00 |  0.0039822527 |         ideal
    33 |     5907 |     82 |  0.000000E+00 |  0.000000E+00 |  0.0026691324 |         ideal
    34 |     6086 |     83 |  0.000000E+00 |  0.000000E+00 |  0.0057537727 |         nadir
    35 |     6265 |     84 |  0.000000E+00 |  0.000000E+00 |  0.0082236206 |             f
    36 |     6444 |     84 |  0.000000E+00 |  0.000000E+00 |  0.0039372031 |         nadir
    37 |     6623 |     82 |  0.000000E+00 |  0.000000E+00 |  0.0065426448 |         ideal
    38 |     6802 |     82 |  0.000000E+00 |  0.000000E+00 |  0.0063386092 |             f
    39 |     6981 |     83 |  0.000000E+00 |  0.000000E+00 |  0.1521049534 |         nadir
    40 |     7160 |     83 |  0.000000E+00 |  0.000000E+00 |  0.0045884562 |             f
    41 |     7339 |     85 |  0.000000E+00 |  0.000000E+00 |  0.5529605753 |         nadir
    42 |     7518 |     86 |  0.000000E+00 |  0.000000E+00 |  0.0060139135 |             f
    43 |     7697 |     86 |  0.000000E+00 |  0.000000E+00 |  0.0022758453 |             f
    44 |     7876 |     69 |  0.000000E+00 |  0.000000E+00 |  0.0233204233 |             f
    45 |     8055 |     71 |  0.000000E+00 |  0.000000E+00 |  0.0025932215 |         ideal
    46 |     8234 |     74 |  0.000000E+00 |  0.000000E+00 |  0.0227052621 |         nadir
    47 |     8413 |     91 |  0.000000E+00 |  0.000000E+00 |  0.0293355115 |             f
    48 |     8592 |     94 |  0.000000E+00 |  0.000000E+00 |  0.0221146541 |         nadir
    49 |     8771 |    104 |  0.000000E+00 |  0.000000E+00 |  0.0226147719 |         nadir
    50 |     8950 |    108 |  0.000000E+00 |  0.000000E+00 |  0.0091555967 |             f
    51 |     9129 |    111 |  0.000000E+00 |  0.000000E+00 |  0.0045758070 |         ideal
    52 |     9308 |     87 |  0.000000E+00 |  0.000000E+00 |  0.1022197091 |         nadir
    53 |     9487 |     87 |  0.000000E+00 |  0.000000E+00 |  0.0822502507 |         nadir
    54 |     9666 |     90 |  0.000000E+00 |  0.000000E+00 |  0.0571716804 |         nadir
    55 |     9845 |     92 |  0.000000E+00 |  0.000000E+00 |  0.0143344832 |         nadir
    56 |    10024 |     93 |  0.000000E+00 |  0.000000E+00 |  0.0090968455 |             f
    57 |    10203 |     96 |  0.000000E+00 |  0.000000E+00 |  0.0685032013 |         nadir
    58 |    10382 |     98 |  0.000000E+00 |  0.000000E+00 |  0.0046397285 |         ideal
    59 |    10561 |    102 |  0.000000E+00 |  0.000000E+00 |  0.0025333132 |         nadir
    60 |    10740 |    106 |  0.000000E+00 |  0.000000E+00 |  0.0093650622 |             f
    61 |    10919 |    110 |  0.000000E+00 |  0.000000E+00 |  0.0093853770 |             f
    62 |    11098 |    110 |  0.000000E+00 |  0.000000E+00 |  0.0236994943 |         nadir
    63 |    11277 |    107 |  0.000000E+00 |  0.000000E+00 |  0.0528078979 |         nadir
    64 |    11456 |    112 |  0.000000E+00 |  0.000000E+00 |  0.0094167377 |             f
    65 |    11635 |    114 |  0.000000E+00 |  0.000000E+00 |  0.0101171172 |             f
    66 |    11814 |    111 |  0.000000E+00 |  0.000000E+00 |  0.0062300577 |             f
    67 |    11993 |    110 |  0.000000E+00 |  0.000000E+00 |  0.0078425817 |             f
    68 |    12172 |    115 |  0.000000E+00 |  0.000000E+00 |  0.0086974600 |             f
    69 |    12351 |    116 |  0.000000E+00 |  0.000000E+00 |  0.0052703956 |             f
    70 |    12530 |    118 |  0.000000E+00 |  0.000000E+00 |  0.0046244696 |         ideal
    71 |    12709 |    117 |  0.000000E+00 |  0.000000E+00 |  0.0039472855 |             f
    72 |    12888 |    121 |  0.000000E+00 |  0.000000E+00 |  0.0056242663 |         ideal
    73 |    13067 |    125 |  0.000000E+00 |  0.000000E+00 |  0.0112388209 |             f
    74 |    13246 |    133 |  0.000000E+00 |  0.000000E+00 |  0.0189537882 |         ideal
    75 |    13425 |    136 |  0.000000E+00 |  0.000000E+00 |  0.0086799778 |             f
    76 |    13604 |    139 |  0.000000E+00 |  0.000000E+00 |  0.0251785532 |         nadir
    77 |    13783 |    141 |  0.000000E+00 |  0.000000E+00 |  0.0323261620 |         nadir
    78 |    13962 |    138 |  0.000000E+00 |  0.000000E+00 |  0.0360105306 |         nadir
    79 |    14141 |    138 |  0.000000E+00 |  0.000000E+00 |  0.0132460959 |         ideal
    80 |    14320 |    132 |  0.000000E+00 |  0.000000E+00 |  0.0249390602 |         ideal
    81 |    14499 |    131 |  0.000000E+00 |  0.000000E+00 |  0.0067801813 |             f
    82 |    14678 |    132 |  0.000000E+00 |  0.000000E+00 |  0.1858002193 |         nadir
    83 |    14857 |    132 |  0.000000E+00 |  0.000000E+00 |  0.0030891527 |             f
    84 |    15036 |    134 |  0.000000E+00 |  0.000000E+00 |  0.0046524048 |             f
    85 |    15215 |    126 |  0.000000E+00 |  0.000000E+00 |  0.0106690973 |             f
    86 |    15394 |    132 |  0.000000E+00 |  0.000000E+00 |  0.0077588795 |             f
    87 |    15573 |    136 |  0.000000E+00 |  0.000000E+00 |  0.3503975215 |         nadir
    88 |    15752 |    138 |  0.000000E+00 |  0.000000E+00 |  0.0061753478 |             f
    89 |    15931 |    133 |  0.000000E+00 |  0.000000E+00 |  0.0040254934 |         nadir
    90 |    16110 |    133 |  0.000000E+00 |  0.000000E+00 |  0.0134283977 |         nadir
    91 |    16289 |    133 |  0.000000E+00 |  0.000000E+00 |  0.0056793092 |             f
