Objectives = ['-0.2449868942162', '0.0738949473029', '0.0263565213853', '0.2013353529073', '0.0523494602487', '0.0755547013381', '0.0523536321787', '0.0426378129426', '0.0252262606930', '0.0340296906213', '0.0300817154720', '0.5765645102652']
The time of execution of above program is : 168424.70002174377 ms
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      179 |     12 |  0.000000E+00 |  0.000000E+00 |             - |             -
     2 |      358 |     12 |  0.000000E+00 |  0.000000E+00 |  0.6329949317 |         ideal
     3 |      537 |      2 |  0.000000E+00 |  0.000000E+00 |  5.8241194551 |         ideal
     4 |      716 |      6 |  0.000000E+00 |  0.000000E+00 |  0.7032344434 |         ideal
     5 |      895 |      6 |  0.000000E+00 |  0.000000E+00 |  0.3761612420 |         ideal
     6 |     1074 |      9 |  0.000000E+00 |  0.000000E+00 |  0.2367027540 |         ideal
     7 |     1253 |     13 |  0.000000E+00 |  0.000000E+00 |  0.1553197078 |         ideal
     8 |     1432 |     11 |  0.000000E+00 |  0.000000E+00 |  0.2919493724 |         ideal
     9 |     1611 |     13 |  0.000000E+00 |  0.000000E+00 |  0.3030258817 |         ideal
    10 |     1790 |     13 |  0.000000E+00 |  0.000000E+00 |  0.2921152450 |         ideal
    11 |     1969 |     17 |  0.000000E+00 |  0.000000E+00 |  0.3134027583 |         ideal
    12 |     2148 |     18 |  0.000000E+00 |  0.000000E+00 |  0.0507086666 |         ideal
    13 |     2327 |     21 |  0.000000E+00 |  0.000000E+00 |  0.1994759514 |         ideal
    14 |     2506 |     19 |  0.000000E+00 |  0.000000E+00 |  0.1285687968 |         ideal
    15 |     2685 |     16 |  0.000000E+00 |  0.000000E+00 |  0.0572970589 |         ideal
    16 |     2864 |     12 |  0.000000E+00 |  0.000000E+00 |  0.3747884863 |         ideal
    17 |     3043 |     12 |  0.000000E+00 |  0.000000E+00 |  0.3868539553 |         ideal
    18 |     3222 |     14 |  0.000000E+00 |  0.000000E+00 |  0.2864582422 |         ideal
    19 |     3401 |     16 |  0.000000E+00 |  0.000000E+00 |  0.2776659820 |         ideal
    20 |     3580 |     20 |  0.000000E+00 |  0.000000E+00 |  0.0356265367 |         ideal
    21 |     3759 |     26 |  0.000000E+00 |  0.000000E+00 |  0.1831587794 |         ideal
    22 |     3938 |     26 |  0.000000E+00 |  0.000000E+00 |  0.0355643942 |         ideal
    23 |     4117 |     27 |  0.000000E+00 |  0.000000E+00 |  0.1064864515 |         ideal
    24 |     4296 |     23 |  0.000000E+00 |  0.000000E+00 |  0.0874013265 |         ideal
    25 |     4475 |     18 |  0.000000E+00 |  0.000000E+00 |  0.1016423382 |         ideal
    26 |     4654 |     19 |  0.000000E+00 |  0.000000E+00 |  0.3042094610 |         ideal
    27 |     4833 |     24 |  0.000000E+00 |  0.000000E+00 |  0.0170658315 |         ideal
    28 |     5012 |     22 |  0.000000E+00 |  0.000000E+00 |  0.1428283666 |         ideal
    29 |     5191 |     19 |  0.000000E+00 |  0.000000E+00 |  0.2105009355 |         ideal
    30 |     5370 |     23 |  0.000000E+00 |  0.000000E+00 |  0.1810904569 |         ideal
    31 |     5549 |     18 |  0.000000E+00 |  0.000000E+00 |  0.1662112480 |         ideal
    32 |     5728 |     21 |  0.000000E+00 |  0.000000E+00 |  0.1921548050 |         ideal
    33 |     5907 |     18 |  0.000000E+00 |  0.000000E+00 |  0.0906907084 |         ideal
    34 |     6086 |     20 |  0.000000E+00 |  0.000000E+00 |  0.0123341780 |         ideal
    35 |     6265 |     18 |  0.000000E+00 |  0.000000E+00 |  0.0294751450 |         ideal
    36 |     6444 |     25 |  0.000000E+00 |  0.000000E+00 |  0.1658835318 |         ideal
    37 |     6623 |     20 |  0.000000E+00 |  0.000000E+00 |  0.1362768208 |         ideal
    38 |     6802 |     24 |  0.000000E+00 |  0.000000E+00 |  0.0960305555 |         ideal
    39 |     6981 |     31 |  0.000000E+00 |  0.000000E+00 |  0.0194333470 |         ideal
    40 |     7160 |     23 |  0.000000E+00 |  0.000000E+00 |  0.0541540648 |         ideal
    41 |     7339 |     27 |  0.000000E+00 |  0.000000E+00 |  0.0865900534 |         ideal
    42 |     7518 |     31 |  0.000000E+00 |  0.000000E+00 |  0.1113890748 |         ideal
    43 |     7697 |     25 |  0.000000E+00 |  0.000000E+00 |  0.1334927720 |         ideal
    44 |     7876 |     31 |  0.000000E+00 |  0.000000E+00 |  0.0451023050 |         ideal
    45 |     8055 |     32 |  0.000000E+00 |  0.000000E+00 |  0.0518127685 |         ideal
    46 |     8234 |     30 |  0.000000E+00 |  0.000000E+00 |  0.0292487709 |         ideal
    47 |     8413 |     33 |  0.000000E+00 |  0.000000E+00 |  0.0353398532 |         ideal
    48 |     8592 |     25 |  0.000000E+00 |  0.000000E+00 |  0.1034691838 |         ideal
    49 |     8771 |     21 |  0.000000E+00 |  0.000000E+00 |  0.2477937927 |         ideal
    50 |     8950 |     24 |  0.000000E+00 |  0.000000E+00 |  0.1264593460 |         ideal
    51 |     9129 |     20 |  0.000000E+00 |  0.000000E+00 |  0.1299309967 |         ideal
    52 |     9308 |     21 |  0.000000E+00 |  0.000000E+00 |  0.0493322033 |         ideal
    53 |     9487 |     29 |  0.000000E+00 |  0.000000E+00 |  0.0424315920 |         ideal
    54 |     9666 |     23 |  0.000000E+00 |  0.000000E+00 |  0.0443118127 |         ideal
    55 |     9845 |     23 |  0.000000E+00 |  0.000000E+00 |  0.0334239429 |         ideal
