Objectives = ['-0.3327958149757', '0.0813461439353', '0.0195708183000', '0.2238738158722', '0.0651435132933', '0.1097220515075', '0.1114096443366', '0.0443721879563', '0.0073555957955', '0.0951083958689', '0.3081750061865', '0.3231896738658']
The time of execution of above program is : 170785.00294685364 ms
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      179 |      9 |  0.000000E+00 |  0.000000E+00 |             - |             -
     2 |      358 |     10 |  0.000000E+00 |  0.000000E+00 |  0.4472267459 |         ideal
     3 |      537 |      4 |  0.000000E+00 |  0.000000E+00 |  0.4802963507 |         ideal
     4 |      716 |      6 |  0.000000E+00 |  0.000000E+00 |  0.7554034728 |         ideal
     5 |      895 |      9 |  0.000000E+00 |  0.000000E+00 |  0.3090885632 |         ideal
     6 |     1074 |      9 |  0.000000E+00 |  0.000000E+00 |  0.2686868448 |         ideal
     7 |     1253 |     11 |  0.000000E+00 |  0.000000E+00 |  0.1656546627 |         ideal
     8 |     1432 |     14 |  0.000000E+00 |  0.000000E+00 |  0.2126616997 |         ideal
     9 |     1611 |     11 |  0.000000E+00 |  0.000000E+00 |  0.4832489761 |         ideal
    10 |     1790 |     13 |  0.000000E+00 |  0.000000E+00 |  0.2830240314 |         ideal
    11 |     1969 |     16 |  0.000000E+00 |  0.000000E+00 |  0.1954986506 |         ideal
    12 |     2148 |     12 |  0.000000E+00 |  0.000000E+00 |  0.1542107387 |         ideal
    13 |     2327 |     11 |  0.000000E+00 |  0.000000E+00 |  0.2372309242 |         ideal
    14 |     2506 |     12 |  0.000000E+00 |  0.000000E+00 |  0.3004938773 |         ideal
    15 |     2685 |     17 |  0.000000E+00 |  0.000000E+00 |  0.1142307101 |         ideal
    16 |     2864 |     12 |  0.000000E+00 |  0.000000E+00 |  0.1517441434 |         ideal
    17 |     3043 |     11 |  0.000000E+00 |  0.000000E+00 |  0.2393445020 |         ideal
    18 |     3222 |     13 |  0.000000E+00 |  0.000000E+00 |  0.1716269931 |         ideal
    19 |     3401 |     12 |  0.000000E+00 |  0.000000E+00 |  0.2033805475 |         ideal
    20 |     3580 |     13 |  0.000000E+00 |  0.000000E+00 |  0.2173347749 |         ideal
    21 |     3759 |     20 |  0.000000E+00 |  0.000000E+00 |  0.2142103521 |         ideal
    22 |     3938 |     22 |  0.000000E+00 |  0.000000E+00 |  0.1260023825 |         ideal
    23 |     4117 |     21 |  0.000000E+00 |  0.000000E+00 |  0.1063781558 |         ideal
    24 |     4296 |     22 |  0.000000E+00 |  0.000000E+00 |  0.0979583209 |         ideal
    25 |     4475 |     21 |  0.000000E+00 |  0.000000E+00 |  0.2471817226 |         ideal
    26 |     4654 |     16 |  0.000000E+00 |  0.000000E+00 |  0.1818841097 |         ideal
    27 |     4833 |     19 |  0.000000E+00 |  0.000000E+00 |  0.1637353624 |         ideal
    28 |     5012 |     26 |  0.000000E+00 |  0.000000E+00 |  0.1469572924 |         ideal
    29 |     5191 |     26 |  0.000000E+00 |  0.000000E+00 |  0.1248484104 |         ideal
    30 |     5370 |     29 |  0.000000E+00 |  0.000000E+00 |  0.0956066840 |         ideal
    31 |     5549 |     28 |  0.000000E+00 |  0.000000E+00 |  0.0408708178 |         ideal
    32 |     5728 |     22 |  0.000000E+00 |  0.000000E+00 |  0.1403184650 |         ideal
    33 |     5907 |     25 |  0.000000E+00 |  0.000000E+00 |  0.0854072969 |         ideal
    34 |     6086 |     24 |  0.000000E+00 |  0.000000E+00 |  0.0068839776 |         ideal
    35 |     6265 |     30 |  0.000000E+00 |  0.000000E+00 |  0.0463721660 |         ideal
    36 |     6444 |     30 |  0.000000E+00 |  0.000000E+00 |  0.0646836424 |         ideal
    37 |     6623 |     28 |  0.000000E+00 |  0.000000E+00 |  0.1102325013 |         ideal
    38 |     6802 |     28 |  0.000000E+00 |  0.000000E+00 |  0.1162878177 |         ideal
    39 |     6981 |     33 |  0.000000E+00 |  0.000000E+00 |  0.0477689262 |         ideal
    40 |     7160 |     31 |  0.000000E+00 |  0.000000E+00 |  0.0680331067 |         ideal
