Objectives = ['-0.1427101679820', '0.1029052852214', '0.1279410018501', '0.1445902552772', '0.1825438582040', '0.0703412148255', '0.0484306273269', '0.0683049240724', '0.0795548161843', '0.5466886477193', '0.0503721657714', '0.1457739520289']
The time of execution of above program is : 160101.46522521973 ms
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      179 |     17 |  0.000000E+00 |  0.000000E+00 |             - |             -
     2 |      358 |      8 |  0.000000E+00 |  0.000000E+00 |  0.9467816510 |         ideal
     3 |      537 |     10 |  0.000000E+00 |  0.000000E+00 |  0.6955557048 |         ideal
     4 |      716 |      8 |  0.000000E+00 |  0.000000E+00 |  0.5601275560 |         ideal
     5 |      895 |     11 |  0.000000E+00 |  0.000000E+00 |  0.1494403133 |         ideal
     6 |     1074 |     11 |  0.000000E+00 |  0.000000E+00 |  0.1251992186 |         ideal
     7 |     1253 |     19 |  0.000000E+00 |  0.000000E+00 |  0.1560793077 |         ideal
     8 |     1432 |     21 |  0.000000E+00 |  0.000000E+00 |  0.0803866764 |         ideal
     9 |     1611 |     22 |  0.000000E+00 |  0.000000E+00 |  0.0537907979 |         ideal
    10 |     1790 |     26 |  0.000000E+00 |  0.000000E+00 |  0.0754754412 |         ideal
    11 |     1969 |     30 |  0.000000E+00 |  0.000000E+00 |  0.0736040394 |         ideal
    12 |     2148 |      7 |  0.000000E+00 |  0.000000E+00 |  0.4253563041 |         ideal
    13 |     2327 |      9 |  0.000000E+00 |  0.000000E+00 |  0.0768351755 |         ideal
    14 |     2506 |     11 |  0.000000E+00 |  0.000000E+00 |  0.1597642766 |         ideal
    15 |     2685 |     12 |  0.000000E+00 |  0.000000E+00 |  0.1051615509 |         ideal
    16 |     2864 |     13 |  0.000000E+00 |  0.000000E+00 |  0.1185968144 |         ideal
    17 |     3043 |     13 |  0.000000E+00 |  0.000000E+00 |  0.1796093693 |         ideal
    18 |     3222 |     15 |  0.000000E+00 |  0.000000E+00 |  0.1900252810 |         ideal
    19 |     3401 |     20 |  0.000000E+00 |  0.000000E+00 |  0.1149600732 |         ideal
    20 |     3580 |     15 |  0.000000E+00 |  0.000000E+00 |  0.1961956734 |         ideal
    21 |     3759 |     13 |  0.000000E+00 |  0.000000E+00 |  0.0736473220 |         ideal
    22 |     3938 |     12 |  0.000000E+00 |  0.000000E+00 |  0.3101540423 |         ideal
    23 |     4117 |     13 |  0.000000E+00 |  0.000000E+00 |  0.1219512939 |         ideal
    24 |     4296 |     11 |  0.000000E+00 |  0.000000E+00 |  0.0579662881 |         ideal
    25 |     4475 |     19 |  0.000000E+00 |  0.000000E+00 |  0.0886277262 |         ideal
    26 |     4654 |     18 |  0.000000E+00 |  0.000000E+00 |  0.6539514467 |         nadir
    27 |     4833 |     23 |  0.000000E+00 |  0.000000E+00 |  0.0062375840 |         ideal
    28 |     5012 |     12 |  0.000000E+00 |  0.000000E+00 |  0.0845449463 |         ideal
    29 |     5191 |     17 |  0.000000E+00 |  0.000000E+00 |  0.5333989321 |         nadir
    30 |     5370 |      7 |  0.000000E+00 |  0.000000E+00 |  0.2659583809 |         ideal
