Objectives = ['-0.0700231410498', '0.0030863966491', '0.0445778655200']
The time of execution of above program is : 46559.25989151001 ms
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      179 |      9 |  0.000000E+00 |  0.000000E+00 |             - |             -
     2 |      358 |      6 |  0.000000E+00 |  0.000000E+00 |  0.8639228443 |         ideal
     3 |      537 |      9 |  0.000000E+00 |  0.000000E+00 |  0.0068217423 |         ideal
     4 |      716 |     14 |  0.000000E+00 |  0.000000E+00 |  0.0349940371 |         ideal
     5 |      895 |     12 |  0.000000E+00 |  0.000000E+00 |  0.3381706742 |         ideal
     6 |     1074 |     21 |  0.000000E+00 |  0.000000E+00 |  0.0280126853 |         ideal
     7 |     1253 |     30 |  0.000000E+00 |  0.000000E+00 |  0.0847730445 |         ideal
     8 |     1432 |     20 |  0.000000E+00 |  0.000000E+00 |  0.3752381878 |         nadir
     9 |     1611 |     26 |  0.000000E+00 |  0.000000E+00 |  0.0083252605 |         ideal
    10 |     1790 |     30 |  0.000000E+00 |  0.000000E+00 |  0.0245036496 |         ideal
    11 |     1969 |     32 |  0.000000E+00 |  0.000000E+00 |  0.0144089927 |         ideal
    12 |     2148 |     35 |  0.000000E+00 |  0.000000E+00 |  0.0830226713 |         ideal
    13 |     2327 |     40 |  0.000000E+00 |  0.000000E+00 |  0.0056539309 |         ideal
    14 |     2506 |     62 |  0.000000E+00 |  0.000000E+00 |  0.0114118899 |         ideal
    15 |     2685 |     67 |  0.000000E+00 |  0.000000E+00 |  0.0383668771 |         ideal
    16 |     2864 |     76 |  0.000000E+00 |  0.000000E+00 |  0.0718440258 |         nadir
    17 |     3043 |     83 |  0.000000E+00 |  0.000000E+00 |  0.0104382546 |         ideal
    18 |     3222 |     80 |  0.000000E+00 |  0.000000E+00 |  0.0155147685 |         ideal
    19 |     3401 |     84 |  0.000000E+00 |  0.000000E+00 |  0.0264076681 |         ideal
    20 |     3580 |     88 |  0.000000E+00 |  0.000000E+00 |  0.0571470304 |         ideal
    21 |     3759 |     86 |  0.000000E+00 |  0.000000E+00 |  0.0449079619 |         ideal
    22 |     3938 |     87 |  0.000000E+00 |  0.000000E+00 |  0.0454989510 |         ideal
    23 |     4117 |     86 |  0.000000E+00 |  0.000000E+00 |  0.0267464202 |         nadir
    24 |     4296 |     98 |  0.000000E+00 |  0.000000E+00 |  0.0259361389 |             f
    25 |     4475 |    105 |  0.000000E+00 |  0.000000E+00 |  0.0154076822 |         ideal
    26 |     4654 |    112 |  0.000000E+00 |  0.000000E+00 |  0.0427129139 |         ideal
    27 |     4833 |     77 |  0.000000E+00 |  0.000000E+00 |  0.2332697177 |         ideal
    28 |     5012 |     81 |  0.000000E+00 |  0.000000E+00 |  0.0073442917 |         nadir
    29 |     5191 |     85 |  0.000000E+00 |  0.000000E+00 |  0.0222662963 |         ideal
    30 |     5370 |     88 |  0.000000E+00 |  0.000000E+00 |  0.0143929747 |         nadir
    31 |     5549 |     87 |  0.000000E+00 |  0.000000E+00 |  0.0532042318 |         nadir
    32 |     5728 |     85 |  0.000000E+00 |  0.000000E+00 |  0.0627066463 |         ideal
    33 |     5907 |     77 |  0.000000E+00 |  0.000000E+00 |  0.0168705505 |         ideal
    34 |     6086 |     80 |  0.000000E+00 |  0.000000E+00 |  0.0491298448 |         nadir
    35 |     6265 |     89 |  0.000000E+00 |  0.000000E+00 |  0.0071326417 |         ideal
    36 |     6444 |     77 |  0.000000E+00 |  0.000000E+00 |  0.0188783570 |         ideal
    37 |     6623 |     81 |  0.000000E+00 |  0.000000E+00 |  0.0056963481 |         ideal
    38 |     6802 |     78 |  0.000000E+00 |  0.000000E+00 |  0.1020798341 |         nadir
    39 |     6981 |     80 |  0.000000E+00 |  0.000000E+00 |  0.0365072634 |         ideal
    40 |     7160 |     86 |  0.000000E+00 |  0.000000E+00 |  0.0094858095 |         nadir
    41 |     7339 |     93 |  0.000000E+00 |  0.000000E+00 |  0.0557208669 |         nadir
    42 |     7518 |     97 |  0.000000E+00 |  0.000000E+00 |  0.0280011039 |         ideal
